family,family_parameter,gamma,relative_width_fraction,base_scale,width,half_width,realized_width_over_scale,width_source,support_mode_count,effective_mode_count,angle_sine,measurement_available,measurement_method,local_fft_input_side_length,local_fft_padded_side_length,local_fft_zero_padding_alias_free,local_fft_global_overlap_aware,local_fft_estimated_peak_working_bytes,local_fft_maximum_working_bytes,targets_per_band,parent_boxes_disjoint,child_band_isolated,channel_bands_disjoint,full_output_bands_disjoint,critical_energy,parent_norm_squared,parent_min_wavenumber,parent_rms_wavenumber,parent_max_wavenumber,a_critical,a_unit,chi_support,chi_effective,gain_g,heat_factor_h,duhamel_amplitude_ratio,duhamel_energy_ratio,duhamel_identity_rhs,duhamel_identity_relative_error,duhamel_upper_bound_method,support_radius_factor_kappa,universal_duhamel_upper_bound,effective_duhamel_upper_bound,duhamel_to_universal_upper_bound,duhamel_to_effective_upper_bound,required_energy_constant_for_target,forcing_metric_method,child_forcing_fraction,low_side_forcing_ratio,off_chain_main_ratio,difference_sideband_main_ratio,self_interaction_cross_interaction_ratio,energy_cancellation_available,energy_cancellation_method,energy_cancellation_residual,energy_cancellation_pairing,full_nonlinear_norm,normalization_relative_error,divergence_relative,reality_relative,channel_ratios_are_orthogonal,channel_norms_json,channel_ratios_json,box_overlap_counts_json,predicted_a_unit_exponent,predicted_a_critical_exponent,predicted_g_exponent,predicted_duhamel_exponent,predicted_g_grows,predicted_duhamel_decays,finite_screen_pass,asymptotic_screen_pass,finite_screen_reasons,asymptotic_screen_reasons,core_fit_eligible,relay_fit_eligible
power_width,0.7,0.7,,8,4,3,0.5,power_floor,1372,787.8106686701726,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,7,13,True,True,1511536,1000000000,2197,True,False,True,False,0.125,0.25,7.0710678118654755,11.516786167866607,15.84297951775486,6.587626058392303,26.35050423356921,0.08892459326936068,0.1173513295133821,0.4117266286495189,0.8595215105307885,0.19085666704819496,0.03642626735674554,0.03642626735674554,0.0,phase-independent-bernstein-heat-support-and-effective-count,1.9803724397193574,21.018798828125,12.069120961682943,0.001733032779589859,0.003018137565477361,13.726358374938142,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8123408340422156,0.1726364413359536,0.4806353934871049,0.3383701018698634,0.15283417696695695,True,exact-zero-padded-local-fft-full-pairing,8.80752935353243e-19,-3.2187251995663413e-18,7.309030876577003,0.0,1.15774862791285e-17,0.0,False,"{""child"":6.587626058392303,""child_spill"":1.9915658435139671,""difference"":1.9462151170177762,""difference_spill"":1.0867088083011114,""harmonic"":0.027106610051955447,""low"":0.9975242146775736,""low_spill"":0.5461827292265562,""same_carrier_spill"":1.7935964313725297}","{""child"":0.7634513923661499,""child_spill"":0.0697770898169702,""difference"":0.0666354288422089,""difference_spill"":0.020775423637921262,""harmonic"":1.2926291047937976e-05,""low"":0.017505334249664578,""low_spill"":0.005248067840152586,""off_child"":0.2365486076338501,""same_carrier_spill"":0.05659433695588461}","{""full_child+|full_harmonic_p+"":325,""full_child+|full_harmonic_q+"":325,""full_child+|parent_p+"":28,""full_child+|parent_q+"":28,""full_child-|full_harmonic_p-"":325,""full_child-|full_harmonic_q-"":325,""full_child-|parent_p-"":28,""full_child-|parent_q-"":28,""full_difference+|full_low"":325,""full_difference-|full_low"":325}",2.05,1.0499999999999998,0.04999999999999982,-0.9000000000000004,True,True,False,False,child_band_not_isolated|duhamel_ratio_below_required_target,child_band_not_isolated|duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,False,False
power_width,0.7,0.7,,12,5,4,0.4166666666666667,power_floor,2916,1590.1689395481378,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,9,17,True,True,3380144,1000000000,4913,True,False,True,False,0.08333333333333333,0.16666666666666674,11.313708498984761,17.185493198351576,22.978250586152114,9.422752507466942,56.536515044801625,0.08724770840247165,0.11814794048761686,0.3926146878111224,0.8603257327431739,0.14866966881199986,0.022102670424669724,0.02210267042466972,1.5696958264740797e-16,phase-independent-bernstein-heat-support-and-effective-count,1.9148542155126762,12.375,6.748402135428053,0.0017860743777510888,0.003275245010761017,22.621700925419802,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8436280767158661,0.14125910738138023,0.43053045324914646,0.2831440829922608,0.13061008236943134,True,exact-zero-padded-local-fft-full-pairing,4.908739601041181e-21,-2.055874694439295e-20,10.258934850421504,4.996003610813204e-16,1.004220721966913e-17,0.0,False,"{""child"":9.422752507466942,""child_spill"":2.754629183597209,""difference"":2.3694676773916097,""difference_spill"":1.2263070086243382,""harmonic"":0.012858698615275024,""low"":1.2085121506093726,""low_spill"":0.5578453562888458,""same_carrier_spill"":0.6417013769323249}","{""child"":0.8401766470949414,""child_spill"":0.07180279102168638,""difference"":0.05312716174209173,""difference_spill"":0.014230280412668541,""harmonic"":1.564620701461204e-06,""low"":0.013820287570217568,""low_spill"":0.0029447110211109438,""off_child"":0.15982335290505856,""same_carrier_spill"":0.003896556516581959}","{""full_child+|full_harmonic_p+"":425,""full_child+|full_harmonic_q+"":425,""full_child+|parent_p+"":9,""full_child+|parent_q+"":9,""full_child-|full_harmonic_p-"":425,""full_child-|full_harmonic_q-"":425,""full_child-|parent_p-"":9,""full_child-|parent_q-"":9,""full_difference+|full_low"":425,""full_difference-|full_low"":425}",2.05,1.0499999999999998,0.04999999999999982,-0.9000000000000004,True,True,False,False,child_band_not_isolated|duhamel_ratio_below_required_target,child_band_not_isolated|duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,False,False
power_width,0.7,0.7,,16,6,5,0.375,power_floor,5324,2797.798471532092,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,11,21,True,True,6371568,1000000000,9261,True,True,True,False,0.0625,0.12500000000000003,15.556349186104045,22.861404935314855,30.116440692751194,12.551551637306206,100.41241309844962,0.08600989115230508,0.11864766814093307,0.3922359886658188,0.8606778162311212,0.12865383898728758,0.01655181028616692,0.01655181028616692,0.0,phase-independent-bernstein-heat-support-and-effective-count,1.8822775432969496,9.210334777832031,4.840094020232406,0.0017970910597087935,0.003419729083149537,30.208176106143032,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8601579461836074,0.1274142252159936,0.4032086068825236,0.25632153562122406,0.118989238670555,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,13.533443502652391,2.220446049250313e-16,9.164856149153096e-18,0.0,False,"{""child"":12.551551637306206,""child_spill"":3.5646584193569653,""difference"":2.874531855996211,""difference_spill"":1.444871870261424,""harmonic"":0.012662065386213726,""low"":1.4618689193588164,""low_spill"":0.6484811158307786,""same_carrier_spill"":0.23996080770664519}","{""child"":0.859875959951333,""child_spill"":0.06935484629033638,""difference"":0.04509986323719177,""difference_spill"":0.011394614717079615,""harmonic"":8.750846719713777e-07,""low"":0.011664277372624144,""low_spill"":0.0022952798306538195,""off_child"":0.14012404004866696,""same_carrier_spill"":0.0003142835161093056}","{""full_child+|full_harmonic_p+"":525,""full_child+|full_harmonic_q+"":525,""full_child-|full_harmonic_p-"":525,""full_child-|full_harmonic_q-"":525,""full_difference+|full_low"":525,""full_difference-|full_low"":525}",2.05,1.0499999999999998,0.04999999999999982,-0.9000000000000004,True,True,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,True,False
power_width,0.7,0.7,,24,9,8,0.375,power_floor,19652,9661.477064349408,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,17,33,True,True,24724656,1000000000,35937,True,False,True,False,0.041666666666666664,0.08333333333333334,22.627416997969522,34.29500312383429,45.95650117230423,23.434131841958976,281.20958210350767,0.08358252666872579,0.11920572397281008,0.48821108004081193,0.8606312931530341,0.1307451462516029,0.017094293268353034,0.017094293268353034,0.0,phase-independent-bernstein-heat-support-and-effective-count,1.9148542155126762,10.424961419753085,5.125204847021773,0.001639746429753014,0.0033353385432557743,29.249527438824206,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8667590246276925,0.1277496249988611,0.3920755095207809,0.2569058992331572,0.11972341148993373,True,exact-zero-padded-local-fft-full-pairing,3.959737047147432e-23,-2.877235477459901e-22,25.170954399057074,1.6653345369377348e-16,9.464701912899579e-18,0.0,False,"{""child"":23.434131841958976,""child_spill"":6.264146664432473,""difference"":5.4395489717252365,""difference_spill"":2.579946191397811,""harmonic"":0.024226406266755825,""low"":2.7617288985680584,""low_spill"":1.155466352226863,""same_carrier_spill"":0.8069471994993014}","{""child"":0.8658298385240039,""child_spill"":0.06186694136507504,""difference"":0.04665096079643395,""difference_spill"":0.010494363595716767,""harmonic"":9.253644315047327e-07,""low"":0.012025327127451232,""low_spill"":0.0021049869941738254,""off_child"":0.13417016147599614,""same_carrier_spill"":0.0010266562327135673}","{""full_child+|full_harmonic_p+"":2673,""full_child+|full_harmonic_q+"":2673,""full_child+|parent_p+"":17,""full_child+|parent_q+"":17,""full_child-|full_harmonic_p-"":2673,""full_child-|full_harmonic_q-"":2673,""full_child-|parent_p-"":17,""full_child-|parent_q-"":17,""full_difference+|full_low"":2673,""full_difference-|full_low"":2673}",2.05,1.0499999999999998,0.04999999999999982,-0.9000000000000004,True,True,False,False,child_band_not_isolated|duhamel_ratio_below_required_target,child_band_not_isolated|duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,False,False
power_width,0.7,0.7,,32,11,10,0.34375,power_floor,37044,17747.578308786866,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,21,41,True,True,47417648,1000000000,68921,True,True,True,False,0.03125,0.0625,31.11269837220809,45.65247143527005,60.23288138550239,31.859637517989864,509.7542002878378,0.08276598670070497,0.11957524629968873,0.4978068362185916,0.8608902397900046,0.11547148660702726,0.013333664219236877,0.013333664219236879,1.3010103205344482e-16,phase-independent-bernstein-heat-support-and-effective-count,1.8822775432969496,8.010603904724121,3.8378366294073314,0.0016645017501581334,0.00347426571445694,37.49906940649031,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8792233010864969,0.11711585558895637,0.37063120620976736,0.2360722015587116,0.11048347056002474,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,33.97748549340358,0.0,8.914161409518641e-18,0.0,False,"{""child"":31.859637517989864,""child_spill"":8.303290762698468,""difference"":6.823296873284511,""difference_spill"":3.16396739804869,""harmonic"":0.025480407807728086,""low"":3.456612968940705,""low_spill"":1.405059765401847,""same_carrier_spill"":0.2699490813929088}","{""child"":0.8791657462709118,""child_spill"":0.05971584618319078,""difference"":0.040325302404770155,""difference_spill"":0.008670678791463193,""harmonic"":5.623437171181431e-07,""low"":0.010348814642818354,""low_spill"":0.0017099314245876962,""off_child"":0.12083425372908818,""same_carrier_spill"":6.311793854096284e-05}","{""full_child+|full_harmonic_p+"":3321,""full_child+|full_harmonic_q+"":3321,""full_child-|full_harmonic_p-"":3321,""full_child-|full_harmonic_q-"":3321,""full_difference+|full_low"":3321,""full_difference-|full_low"":3321}",2.05,1.0499999999999998,0.04999999999999982,-0.9000000000000004,True,True,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,True,False
power_width,0.7,0.7,,48,15,14,0.3125,power_floor,97556,45260.09501661496,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,29,57,True,True,127412784,1000000000,185193,True,True,True,False,0.020833333333333332,0.04166666666666668,48.08326112068523,68.3765237652317,88.79189152169245,51.05070245078043,1225.2168588187299,0.08172308151529066,0.119981419551729,0.5317781505289626,0.8611280953325433,0.10072998002317457,0.010146528875469149,0.010146528875469147,1.7096718466654915e-16,phase-independent-bernstein-heat-support-and-effective-count,1.8498310733685928,6.037044949001736,2.8008244291626756,0.0016807111693191788,0.003622693650420108,49.277935946038625,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8919532229439951,0.10647184906438022,0.34804457505986164,0.215028965440915,0.10106950554330696,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,54.05435415672921,3.3306690738754696e-16,8.348156295347093e-18,0.0,False,"{""child"":51.05070245078043,""child_spill"":12.870544326279946,""difference"":10.008286682992974,""difference_spill"":4.509663343755958,""harmonic"":0.030810223766371273,""low"":5.058534406838305,""low_spill"":1.9888399295584607,""same_carrier_spill"":0.05017541642174442}","{""child"":0.8919524549134699,""child_spill"":0.056693346046375735,""difference"":0.0342813356741316,""difference_spill"":0.006960276694925434,""harmonic"":3.2488373214739095e-07,""low"":0.008757651866151772,""low_spill"":0.0013537482923641321,""off_child"":0.10804754508653014,""same_carrier_spill"":8.616288490737091e-07}","{""full_child+|full_harmonic_p+"":4617,""full_child+|full_harmonic_q+"":4617,""full_child-|full_harmonic_p-"":4617,""full_child-|full_harmonic_q-"":4617,""full_difference+|full_low"":4617,""full_difference-|full_low"":4617}",2.05,1.0499999999999998,0.04999999999999982,-0.9000000000000004,True,True,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,True,False
power_width,0.7,0.7,,64,18,17,0.28125,power_floor,171500,78368.62211316501,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,35,69,True,True,226014192,1000000000,328509,True,True,True,False,0.015625,0.03125,66.46803743153546,91.04421621731704,115.80587204455567,67.3158663511628,2154.1077232372095,0.08127470122488774,0.12023096651490466,0.5259052058684593,0.8613518417468382,0.08628251071158172,0.007444671654694215,0.007444671654694216,2.3301544466141535e-16,phase-independent-bernstein-heat-support-and-effective-count,1.8094667506961823,4.2840586975216866,1.9576430156075506,0.0017377613567715429,0.003802874985551835,67.16212926391812,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.9022627119512305,0.095833818865547,0.3291270956463048,0.19387828658125306,0.09141072985263513,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,70.86812372935914,0.0,7.39883699532811e-18,0.0,False,"{""child"":67.3158663511628,""child_spill"":16.700783563249683,""difference"":11.923925887177088,""difference_spill"":5.305733372687233,""harmonic"":0.029630998315214364,""low"":6.016468404146554,""low_spill"":2.3279326953628106,""same_carrier_spill"":0.00843634518618259}","{""child"":0.9022627118866424,""child_spill"":0.055535645739542214,""difference"":0.02830979122059386,""difference_spill"":0.005605172388275268,""harmonic"":1.748198318108981e-07,""low"":0.0072074462306487876,""low_spill"":0.001079043543259542,""off_child"":0.09773728811335758,""same_carrier_spill"":1.4171206058976976e-08}","{""full_child+|full_harmonic_p+"":1725,""full_child+|full_harmonic_q+"":1725,""full_child-|full_harmonic_p-"":1725,""full_child-|full_harmonic_q-"":1725,""full_difference+|full_low"":1725,""full_difference-|full_low"":1725}",2.05,1.0499999999999998,0.04999999999999982,-0.9000000000000004,True,True,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,True,False
power_width,0.75,0.75,,8,4,3,0.5,power_floor,1372,787.8106686701726,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,7,13,True,True,1511536,1000000000,2197,True,False,True,False,0.125,0.25,7.0710678118654755,11.516786167866607,15.84297951775486,6.587626058392303,26.35050423356921,0.08892459326936068,0.1173513295133821,0.4117266286495189,0.8595215105307885,0.19085666704819496,0.03642626735674554,0.03642626735674554,0.0,phase-independent-bernstein-heat-support-and-effective-count,1.9803724397193574,21.018798828125,12.069120961682943,0.001733032779589859,0.003018137565477361,13.726358374938142,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8123408340422156,0.1726364413359536,0.4806353934871049,0.3383701018698634,0.15283417696695695,True,exact-zero-padded-local-fft-full-pairing,8.80752935353243e-19,-3.2187251995663413e-18,7.309030876577003,0.0,1.15774862791285e-17,0.0,False,"{""child"":6.587626058392303,""child_spill"":1.9915658435139671,""difference"":1.9462151170177762,""difference_spill"":1.0867088083011114,""harmonic"":0.027106610051955447,""low"":0.9975242146775736,""low_spill"":0.5461827292265562,""same_carrier_spill"":1.7935964313725297}","{""child"":0.7634513923661499,""child_spill"":0.0697770898169702,""difference"":0.0666354288422089,""difference_spill"":0.020775423637921262,""harmonic"":1.2926291047937976e-05,""low"":0.017505334249664578,""low_spill"":0.005248067840152586,""off_child"":0.2365486076338501,""same_carrier_spill"":0.05659433695588461}","{""full_child+|full_harmonic_p+"":325,""full_child+|full_harmonic_q+"":325,""full_child+|parent_p+"":28,""full_child+|parent_q+"":28,""full_child-|full_harmonic_p-"":325,""full_child-|full_harmonic_q-"":325,""full_child-|parent_p-"":28,""full_child-|parent_q-"":28,""full_difference+|full_low"":325,""full_difference-|full_low"":325}",2.125,1.125,0.125,-0.75,True,True,False,False,child_band_not_isolated|duhamel_ratio_below_required_target,child_band_not_isolated|duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,False,False
power_width,0.75,0.75,,12,6,5,0.5,power_floor,5324,2797.7984715320927,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,11,21,True,True,6371568,1000000000,9261,True,False,True,False,0.08333333333333333,0.16666666666666674,9.899494936611665,17.28131463796775,24.55605831561735,12.47531949894394,74.85191699366361,0.08548750809463132,0.1179270587919505,0.5198049791226639,0.859380282886265,0.1967240708017094,0.03870036003279597,0.038700360032795963,1.7929791604075465e-16,phase-independent-bernstein-heat-support-and-effective-count,2.0463381929681126,25.80353009259259,13.559931828172035,0.001499808742986901,0.002854023200352109,12.919776445911186,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8178910756071164,0.18251302566635896,0.47186512455158486,0.34602362999796715,0.15501834975455947,True,exact-zero-padded-local-fft-full-pairing,1.4929534178254076e-18,-8.407649034446185e-18,13.794435797463855,4.996003610813204e-16,1.2078143388787722e-17,0.0,False,"{""child"":12.47531949894394,""child_spill"":3.5370927978603355,""difference"":3.771594829584174,""difference_spill"":2.099868827602464,""harmonic"":0.07931642912243898,""low"":1.931141257626206,""low_spill"":1.206235833371239,""same_carrier_spill"":5.119044673293661}","{""child"":0.7133454945898369,""child_spill"":0.057344197139948795,""difference"":0.06519985534221086,""difference_spill"":0.02021067888241187,""harmonic"":2.8835193909374852e-05,""low"":0.017093250354794077,""low_spill"":0.006669004652570654,""off_child"":0.28665450541016313,""same_carrier_spill"":0.12010868384431757}","{""full_child+|full_harmonic_p+"":1701,""full_child+|full_harmonic_q+"":1701,""full_child+|parent_p+"":176,""full_child+|parent_q+"":176,""full_child-|full_harmonic_p-"":1701,""full_child-|full_harmonic_q-"":1701,""full_child-|parent_p-"":176,""full_child-|parent_q-"":176,""full_difference+|full_low"":1701,""full_difference-|full_low"":1701}",2.125,1.125,0.125,-0.75,True,True,False,False,child_band_not_isolated|duhamel_ratio_below_required_target,child_band_not_isolated|duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,False,False
power_width,0.75,0.75,,16,8,7,0.5,power_floor,13500,6752.498673072812,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,15,29,True,True,16779632,1000000000,24389,True,False,True,False,0.0625,0.125,12.727922061357855,23.044446437871034,33.27160951922825,19.44688994779637,155.57511958237097,0.08368608989260419,0.11832810435317104,0.6077153108686366,0.8593168728700235,0.1991736372235116,0.03967013776484301,0.03967013776484301,0.0,phase-independent-bernstein-heat-support-and-effective-count,2.0794755949517656,28.5043716430664,14.257461607154086,0.0013917211809330533,0.002782412385731931,12.60393908798362,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.8220003569247021,0.18935653598780705,0.4653434042979747,0.349658751900448,0.15573954508092247,True,exact-zero-padded-local-fft-full-pairing,2.094492154499282e-18,1.588356182691264e-17,21.449350866421813,0.0,1.2660733993291694e-17,0.0,False,"{""child"":19.44688994779637,""child_spill"":5.27545000192475,""difference"":5.93917747511116,""difference_spill"":3.311059438839186,""harmonic"":0.1478976763542637,""low"":3.0391127747050724,""low_spill"":2.0793825414499554,""same_carrier_spill"":9.453030524150732}","{""child"":0.681174298369022,""child_spill"":0.05012760586402819,""difference"":0.0635346360284908,""difference_spill"":0.019746580240294794,""harmonic"":3.9398586564091336e-05,""low"":0.016636101915899985,""low_spill"":0.007788014056799089,""off_child"":0.318825701630978,""same_carrier_spill"":0.16095336493890106}","{""full_child+|full_harmonic_p+"":4901,""full_child+|full_harmonic_q+"":4901,""full_child+|parent_p+"":540,""full_child+|parent_q+"":540,""full_child-|full_harmonic_p-"":4901,""full_child-|full_harmonic_q-"":4901,""full_child-|parent_p-"":540,""full_child-|parent_q-"":540,""full_difference+|full_low"":4901,""full_difference-|full_low"":4901}",2.125,1.125,0.125,-0.75,True,True,False,False,child_band_not_isolated|duhamel_ratio_below_required_target,child_band_not_isolated|duhamel_ratio_below_required_target|generic_duhamel_ratio_decays_for_gamma_below_one,False,False
