family,family_parameter,gamma,relative_width_fraction,base_scale,width,half_width,realized_width_over_scale,width_source,support_mode_count,effective_mode_count,angle_sine,measurement_available,measurement_method,local_fft_input_side_length,local_fft_padded_side_length,local_fft_zero_padding_alias_free,local_fft_global_overlap_aware,local_fft_estimated_peak_working_bytes,local_fft_maximum_working_bytes,targets_per_band,parent_boxes_disjoint,child_band_isolated,channel_bands_disjoint,full_output_bands_disjoint,critical_energy,parent_norm_squared,parent_min_wavenumber,parent_rms_wavenumber,parent_max_wavenumber,a_critical,a_unit,chi_support,chi_effective,gain_g,heat_factor_h,duhamel_amplitude_ratio,duhamel_energy_ratio,duhamel_identity_rhs,duhamel_identity_relative_error,duhamel_upper_bound_method,support_radius_factor_kappa,universal_duhamel_upper_bound,effective_duhamel_upper_bound,duhamel_to_universal_upper_bound,duhamel_to_effective_upper_bound,required_energy_constant_for_target,forcing_metric_method,child_forcing_fraction,low_side_forcing_ratio,off_chain_main_ratio,difference_sideband_main_ratio,self_interaction_cross_interaction_ratio,energy_cancellation_available,energy_cancellation_method,energy_cancellation_residual,energy_cancellation_pairing,full_nonlinear_norm,normalization_relative_error,divergence_relative,reality_relative,channel_ratios_are_orthogonal,channel_norms_json,channel_ratios_json,box_overlap_counts_json,predicted_a_unit_exponent,predicted_a_critical_exponent,predicted_g_exponent,predicted_duhamel_exponent,predicted_g_grows,predicted_duhamel_decays,finite_screen_pass,asymptotic_screen_pass,finite_screen_reasons,asymptotic_screen_reasons,core_fit_eligible,relay_fit_eligible
fixed_relative_width,0.1,1.0,0.1,8,1,0,0.125,override,4,4.0,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,1,1,True,True,688,1000000000,1,True,True,True,True,0.125,0.25,11.313708498984761,11.313708498984761,11.313708498984761,0.816496580927726,3.265986323710904,0.2041241452319315,0.2041241452319315,0.05103103630798288,0.8623230147378776,0.023694054374884272,0.0005614082127199725,0.0005614082127199725,0.0,phase-independent-bernstein-heat-support-and-effective-count,1.4142135623730951,0.03125000000000001,0.03125000000000001,0.017965062807039116,0.017965062807039116,890.6175375980782,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,1.0,0.0,0.0,0.0,0.0,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,0.816496580927726,0.0,0.0,0.0,True,"{""child"":0.816496580927726,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""same_carrier_spill"":0.0}","{""child"":1.0,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""off_child"":0.0,""same_carrier_spill"":0.0}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.1,1.0,0.1,12,1,0,0.08333333333333333,override,4,4.0,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,1,1,True,True,688,1000000000,1,True,True,True,True,0.08333333333333333,0.16666666666666666,16.97056274847714,16.97056274847714,16.97056274847714,0.816496580927726,4.898979485566357,0.20412414523193154,0.20412414523193154,0.034020690871988585,0.8623230147378776,0.012897409590272425,0.00016634317413925112,0.0001663431741392511,1.6294659791358265e-16,phase-independent-bernstein-heat-support-and-effective-count,1.414213562373095,0.009259259259259257,0.009259259259259257,0.017965062807039123,0.017965062807039123,3005.834189393514,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,1.0,0.0,0.0,0.0,0.0,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,0.816496580927726,0.0,0.0,0.0,True,"{""child"":0.816496580927726,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""same_carrier_spill"":0.0}","{""child"":1.0,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""off_child"":0.0,""same_carrier_spill"":0.0}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.1,1.0,0.1,16,1,0,0.0625,override,4,4.0,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,1,1,True,True,688,1000000000,1,True,True,True,True,0.0625,0.12500000000000003,22.627416997969522,22.627416997969522,22.627416997969522,0.8164965809277263,6.531972647421808,0.2041241452319315,0.2041241452319315,0.02551551815399144,0.8623230147378778,0.008377113261141727,7.017602658999658e-05,7.017602658999658e-05,0.0,phase-independent-bernstein-heat-support-and-effective-count,1.4142135623730951,0.003906250000000001,0.003906250000000001,0.01796506280703912,0.01796506280703912,7124.940300784624,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,1.0,0.0,0.0,0.0,0.0,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,0.8164965809277263,2.220446049250313e-16,0.0,0.0,True,"{""child"":0.8164965809277263,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""same_carrier_spill"":0.0}","{""child"":1.0,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""off_child"":0.0,""same_carrier_spill"":0.0}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.1,1.0,0.1,24,2,1,0.08333333333333333,override,108,75.85185185185185,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,3,5,True,True,86000,1000000000,125,True,True,True,True,0.041666666666666664,0.08333333333333331,32.526911934581186,33.955853692699286,35.369478367654786,2.1189906979558932,25.427888375470726,0.10194998748959569,0.12165107764912335,0.04414563954074779,0.8622602076697102,0.011833585745805474,0.00014003375160333048,0.00014003375160333048,0.0,phase-independent-bernstein-heat-support-and-effective-count,1.4737282653189494,0.03393554687499999,0.02383401920438957,0.004126462205519725,0.005875372944968515,3570.567768664339,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.9139177484041449,0.024670572728606344,0.3069044978365505,0.05230509875907391,0.023591395416166394,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,2.216539599095892,1.6653345369377348e-16,7.397253813525571e-19,0.0,True,"{""child"":2.1189906979558932,""child_spill"":0.6386776821970219,""difference"":0.09631942279003589,""difference_spill"":0.05483382422112347,""harmonic"":1.6108740356335465e-05,""low"":0.04671970232738902,""low_spill"":0.023454727757191887,""same_carrier_spill"":3.9344723043824435e-06}","{""child"":0.9139177484041451,""child_spill"":0.08302568971643431,""difference"":0.0018883250468793532,""difference_spill"":0.0006119924748472008,""harmonic"":5.2816810812568996e-11,""low"":0.0004442722067685675,""low_spill"":0.00011197209495814193,""off_child"":0.08608225159585492,""same_carrier_spill"":3.1508084109669147e-12}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.1,1.0,0.1,32,3,2,0.09375,override,500,309.92331243621527,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,5,9,True,True,501552,1000000000,729,True,True,True,True,0.03125,0.06250000000000001,42.42640687119285,45.282737503263576,48.12483766206386,4.182137330586526,66.9141972893844,0.09351543362430981,0.11877941215661066,0.06534589579041446,0.862231206326637,0.015169462511561265,0.00023011259288966264,0.0002301125928896626,1.1779039978544023e-16,phase-independent-bernstein-heat-support-and-effective-count,1.5039011769394957,0.06902217864990234,0.042783164477483905,0.0033338935019256773,0.0053785781323110685,2172.8493591819483,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.9065896965262311,0.030911582012723243,0.32099036901113986,0.0632001155277539,0.029445223711715478,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,4.3923091528051526,2.220446049250313e-16,1.9504166388462363e-18,0.0,True,"{""child"":4.182137330586526,""child_spill"":1.3097839622325003,""difference"":0.22976707166826751,""difference_spill"":0.1306433879675332,""harmonic"":5.731053065577458e-05,""low"":0.11590462828056924,""low_spill"":0.05725841164684594,""same_carrier_spill"":1.790902387995491e-05}","{""child"":0.9065896965262312,""child_spill"":0.08892288328076883,""difference"":0.0027364642444774865,""difference_spill"":0.0008846858236522458,""harmonic"":1.7024840772231476e-10,""low"":0.000696331042103795,""low_spill"":0.00016993889589321003,""off_child"":0.09341030347376877,""same_carrier_spill"":1.6624861288397963e-11}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.1,1.0,0.1,48,4,3,0.08333333333333333,override,1372,787.810668670173,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,7,13,True,True,1511536,1000000000,2197,True,True,True,True,0.020833333333333332,0.04166666666666666,63.63961030678928,67.91639245157506,72.18725649309579,6.674267386432197,160.18241727437277,0.0900941412655542,0.11889474969937366,0.06952361860866874,0.8622462061913438,0.013177784274419197,0.00017365399838312987,0.00017365399838312992,3.121731093382162e-16,phase-independent-bernstein-heat-support-and-effective-count,1.5039011769394957,0.05611758761935764,0.03222305701644545,0.0030944665611967307,0.0053891224005997735,2879.2887273281117,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.9123452624643245,0.02810625949268532,0.30996173717421005,0.0572744746910222,0.026855871684460155,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,6.987534913712793,1.6653345369377348e-16,1.7938342260255987e-18,0.0,True,"{""child"":6.674267386432197,""child_spill"":2.0244710052358985,""difference"":0.33544271476169396,""difference_spill"":0.18331622001450557,""harmonic"":6.913976558459153e-05,""low"":0.16947017953570545,""low_spill"":0.08043242674276871,""same_carrier_spill"":2.2603575897124158e-05}","{""child"":0.9123452624643246,""child_spill"":0.08394119362237244,""difference"":0.002304563857756811,""difference_spill"":0.0006882620207356112,""harmonic"":9.790566548212912e-11,""low"":0.0005882183889199323,""low_spill"":0.0001324995375208746,""off_child"":0.08765473753567543,""same_carrier_spill"":1.0464206914596349e-11}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.1,1.0,0.1,64,6,5,0.09375,override,5324,2797.798471532092,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,11,21,True,True,6371568,1000000000,9261,True,True,True,True,0.015625,0.03125000000000001,83.43860018001261,90.56844834497518,97.70875088752287,12.643350187248696,404.5872059919582,0.08663894352101983,0.11951542411279417,0.09877617333788041,0.8622209189057097,0.016213862502562834,0.00026288933725201314,0.0002628893372520131,2.0620885270941164e-16,phase-independent-bernstein-heat-support-and-effective-count,1.5266992326175448,0.09467495232820511,0.04975233600980953,0.0027767570068656313,0.005283959675786479,1901.9409658318925,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.920615778258588,0.031959437772929575,0.29364856898411706,0.06507102219110499,0.030679104502070315,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,13.17719461014887,2.220446049250313e-16,2.4603042220077894e-18,0.0,True,"{""child"":12.643350187248696,""child_spill"":3.5977793908893174,""difference"":0.7324305382439275,""difference_spill"":0.37470877168446526,""harmonic"":0.00019660703752174966,""low"":0.36933203807086645,""low_spill"":0.16392052017166528,""same_carrier_spill"":6.296034290387479e-05}","{""child"":0.9206157782585882,""child_spill"":0.07454579308049365,""difference"":0.0030894912346522848,""difference_spill"":0.0008086150116817355,""harmonic"":2.2261385924652594e-10,""low"":0.0007855757075867123,""low_spill"":0.00015474646155443216,""off_child"":0.0793842217414118,""same_carrier_spill"":2.2829071560185723e-11}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.15,1.0,0.15,8,1,0,0.125,override,4,4.0,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,1,1,True,True,688,1000000000,1,True,True,True,True,0.125,0.25,11.313708498984761,11.313708498984761,11.313708498984761,0.816496580927726,3.265986323710904,0.2041241452319315,0.2041241452319315,0.05103103630798288,0.8623230147378776,0.023694054374884272,0.0005614082127199725,0.0005614082127199725,0.0,phase-independent-bernstein-heat-support-and-effective-count,1.4142135623730951,0.03125000000000001,0.03125000000000001,0.017965062807039116,0.017965062807039116,890.6175375980782,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,1.0,0.0,0.0,0.0,0.0,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,0.816496580927726,0.0,0.0,0.0,True,"{""child"":0.816496580927726,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""same_carrier_spill"":0.0}","{""child"":1.0,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""off_child"":0.0,""same_carrier_spill"":0.0}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.15,1.0,0.15,12,1,0,0.08333333333333333,override,4,4.0,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,1,1,True,True,688,1000000000,1,True,True,True,True,0.08333333333333333,0.16666666666666666,16.97056274847714,16.97056274847714,16.97056274847714,0.816496580927726,4.898979485566357,0.20412414523193154,0.20412414523193154,0.034020690871988585,0.8623230147378776,0.012897409590272425,0.00016634317413925112,0.0001663431741392511,1.6294659791358265e-16,phase-independent-bernstein-heat-support-and-effective-count,1.414213562373095,0.009259259259259257,0.009259259259259257,0.017965062807039123,0.017965062807039123,3005.834189393514,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,1.0,0.0,0.0,0.0,0.0,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,0.816496580927726,0.0,0.0,0.0,True,"{""child"":0.816496580927726,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""same_carrier_spill"":0.0}","{""child"":1.0,""child_spill"":0.0,""difference"":0.0,""difference_spill"":0.0,""harmonic"":0.0,""low"":0.0,""low_spill"":0.0,""off_child"":0.0,""same_carrier_spill"":0.0}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
fixed_relative_width,0.15,1.0,0.15,16,2,1,0.125,override,108,75.85185185185186,0.8660254037844384,True,exact-zero-padded-local-fft-global-combination,3,5,True,True,86000,1000000000,125,True,True,True,True,0.0625,0.125,21.213203435596427,22.64950330581225,24.06241883103193,2.1181674096821,16.9453392774568,0.10191037701405439,0.12160381273860744,0.06619273155256562,0.8621816447608448,0.021730248672147786,0.00047220370735338065,0.0004722037073533806,1.148023782534733e-16,phase-independent-bernstein-heat-support-and-effective-count,1.5039011769394957,0.11927032470703125,0.08376736111111112,0.003959104735509647,0.005637084672239321,1058.8650453475104,exact-local-fft-full-global-overlap-aware-with-self-cross-decomposition,0.9104581421601841,0.03700015675288239,0.31360505787232235,0.07839507688199328,0.035326815826195394,True,exact-zero-padded-local-fft-full-pairing,0.0,0.0,2.2198840439677725,0.0,1.6981213035700675e-18,0.0,True,"{""child"":2.1181674096821,""child_spill"":0.6383853386017132,""difference"":0.144343210749989,""difference_spill"":0.08209101166596992,""harmonic"":5.439153511035786e-05,""low"":0.07004153087801913,""low_spill"":0.035163003472524164,""same_carrier_spill"":1.3280359744268806e-05}","{""child"":0.9104581421601838,""child_spill"":0.08269994664916627,""difference"":0.0042279724012460615,""difference_spill"":0.001367510395574247,""harmonic"":6.003465970502978e-10,""low"":0.0009955215837685208,""low_spill"":0.0002509061739245601,""off_child"":0.08954185783981616,""same_carrier_spill"":3.578978586164107e-11}",{},2.5,1.5,0.5,0.0,True,False,False,False,duhamel_ratio_below_required_target,duhamel_ratio_below_required_target,True,True
