snapshot_label,physical_time,field,coarse_nr,coarse_nz,fine_nr,fine_nz,linf,weighted_l2,derivative_linf,derivative_linf_r,derivative_linf_z,argmax_r,argmax_z,field_max_abs,linf_over_field_max_abs
t000,0.0,u1,65,128,129,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3265.5332310870513,0.0
t000,0.0,cartesian_vorticity_magnitude,65,128,129,256,44.504018786686174,1.7117449255376223,1603.8493125134846,448.0669399104663,1603.8493125134846,0.171875,0.0,7554.609461872975,0.00589097543841168
t000,0.0,u1,129,256,193,384,0.002379641582365366,4.679713750863105e-05,0.16238352212531026,0.05266508483327925,0.16238352212531026,0.0078125,0.02734375,3265.5882935410696,7.287022638683521e-07
t000,0.0,cartesian_vorticity_magnitude,129,256,193,384,8.314270090275386,0.31871330107930324,1018.7008078819927,1018.7008078819927,898.4334931885933,0.1640625,0.0,7561.484634978418,0.0010995552449865047
t000,0.0,u1,193,384,257,512,0.005469076433485043,0.00012018456778974823,2.1001253499562154,0.14200098457513377,2.1001253499562154,0.0,0.0026041666666666665,3265.8954313678323,1.6746024324466713e-06
t000,0.0,cartesian_vorticity_magnitude,193,384,257,512,5.563696643027811,0.11233572285280508,2098.9335014229873,2098.9335014229873,1062.4683667835052,0.005208333333333333,0.0026041666666666665,7565.83950707386,0.0007353706932093791
t001,0.0005,u1,65,128,129,256,14.79230570911568,0.3660539253309774,592.5021267730626,122.27847302501323,592.5021267730626,0.0,0.078125,2032.5478866490107,0.0072777157213763
t001,0.0005,cartesian_vorticity_magnitude,65,128,129,256,170.79728591850653,5.208392558582271,6223.98097943631,4194.547267204303,6223.98097943631,0.140625,0.0,9073.113187366776,0.018824551440218038
t001,0.0005,u1,129,256,193,384,2.7776649195723166,0.06827507241633347,116.18300350973732,23.315440399499494,116.18300350973732,0.0,0.921875,2034.8937585369072,0.0013650171700214282
t001,0.0005,cartesian_vorticity_magnitude,129,256,193,384,42.75935912300611,2.128462553286382,10270.134511169294,10270.134511169294,1346.9414722432848,1.0,0.75,9107.765691451285,0.004694824238082982
