nr,nz,time,checkpoint,max_abs_psi1,psi_cross_solver_max_abs_difference,psi_cross_solver_relative_difference,solver_b_boundary_error_max,solver_b_physical_defect_max
65,128,0.0,checkpoint_nr65_nz128_t000.npz,0.0,0.0,0.0,0.0,0.0
65,128,0.0005,checkpoint_nr65_nz128_t001.npz,59.996631956896536,0.05572668522564328,0.0009288302260980096,0.0,531.5708620745136
65,128,0.001,checkpoint_nr65_nz128_t002.npz,81.38410219171554,0.07470643746971106,0.0009179487818606884,0.0,999.6567484161642
65,128,0.0015,checkpoint_nr65_nz128_t003.npz,89.958614735952,0.16233575615468965,0.0018045604262713496,0.0,3114.5324176478753
65,128,0.002191729,checkpoint_nr65_nz128_t004.npz,96.88808441595708,1.1562491765266287,0.0119338635240496,0.0,50376.833653010544
129,256,0.0,checkpoint_nr129_nz256_t000.npz,0.0,0.0,0.0,0.0,0.0
129,256,0.0005,checkpoint_nr129_nz256_t001.npz,59.86665331242635,0.014121427297638434,0.00023588135491628173,0.0,138.54874485862092
129,256,0.001,checkpoint_nr129_nz256_t002.npz,81.13354279503446,0.021081636597457987,0.0002598387284863915,0.0,287.6186365324684
129,256,0.0015,checkpoint_nr129_nz256_t003.npz,89.58248910279583,0.07178770726240202,0.0008013587028155211,0.0,1465.1090730162996
129,256,0.002191729,checkpoint_nr129_nz256_t004.npz,135.09566468629882,1.0504642878046582,0.007775706868491351,0.0,88814.83429079468
193,384,0.0,checkpoint_nr193_nz384_t000.npz,0.0,0.0,0.0,0.0,0.0
193,384,0.0005,checkpoint_nr193_nz384_t001.npz,59.842380884596636,0.006297333658089599,0.0001052320038909168,0.0,62.09574190634885
193,384,0.001,checkpoint_nr193_nz384_t002.npz,81.09059530786678,0.009599417996563275,0.00011837893112164654,0.0,130.0037501705956
193,384,0.0015,checkpoint_nr193_nz384_t003.npz,89.50094775775162,0.036227981150801725,0.0004047776259180903,0.0,1028.6415129050456
193,384,0.002191729,checkpoint_nr193_nz384_t004.npz,157.1715103736634,0.7246116684269737,0.004610324521945893,0.0,129772.17405610438
