audit_grid,audit_shape,region,margin,quantity,rms,max,term_sum_max,relative_rms,relative_max,argmax_x,argmax_y,argmax_z,argmax_radius,argmax_component,scale_divergence_term_sum_max,scale_velocity_gradient_row_sum_max,scale_velocity_max_abs,scale_vorticity_max_abs
coarse,32x32x64,full,0,curl_momentum_residual,33269.55435204031,814585.5574638485,19965257.67626874,0.0016663724000710205,0.04080015247847702,-0.11290322580645162,-0.022580645161290325,0.0625,0.11513915030693386,0,6536.428379757228,9404.811512077686,295.9899893933628,8398.73613808443
coarse,32x32x64,full,0,vorticity_transport_residual,53762.15769793587,1199255.6023196764,20871741.052404463,0.002575834836344061,0.05745834040910162,-0.022580645161290325,-0.15806451612903227,0.015625,0.1596692731711559,0,6536.428379757228,9404.811512077686,295.9899893933628,8398.73613808443
coarse,32x32x64,full,0,form_difference,57626.69766503807,1200028.085315179,1275204.0196890114,0.04519017880691099,0.9410479160878384,-0.022580645161290325,-0.15806451612903227,0.96875,0.1596692731711559,0,6536.428379757228,9404.811512077686,295.9899893933628,8398.73613808443
coarse,32x32x64,full,0,divergence,6.950256251556007,104.94919438016802,6536.428379757228,0.0010633110083605245,0.016056045944783378,-0.022580645161290325,-0.022580645161290325,0.953125,0.03193385463423118,,6536.428379757228,9404.811512077686,295.9899893933628,8398.73613808443
coarse,32x32x64,interior,4,curl_momentum_residual,44359.207767924134,814585.5574638485,19965257.67626874,0.002221819947791143,0.04080015247847702,-0.11290322580645162,-0.022580645161290325,0.0625,0.11513915030693386,0,6536.428379757228,9404.811512077686,295.9899893933628,8398.73613808443
coarse,32x32x64,interior,4,vorticity_transport_residual,71682.75714532334,1199255.6023196764,20871741.052404463,0.00343444070934683,0.05745834040910162,-0.022580645161290325,-0.15806451612903227,0.015625,0.1596692731711559,0,6536.428379757228,9404.811512077686,295.9899893933628,8398.73613808443
coarse,32x32x64,interior,4,form_difference,76835.58824359444,1200028.085315179,1275204.0196890114,0.060253564964712555,0.9410479160878384,-0.022580645161290325,-0.15806451612903227,0.96875,0.1596692731711559,0,6536.428379757228,9404.811512077686,295.9899893933628,8398.73613808443
coarse,32x32x64,interior,4,divergence,9.261432705436565,104.94919438016802,6536.428379757228,0.0014168950024937852,0.016056045944783378,-0.022580645161290325,-0.022580645161290325,0.953125,0.03193385463423118,,6536.428379757228,9404.811512077686,295.9899893933628,8398.73613808443
fine,64x64x128,full,0,curl_momentum_residual,11230.9335505071,278654.19576364977,21997418.596331537,0.0005105568865421354,0.012667586178049106,-0.12222222222222223,-0.011111111111111183,0.015625,0.12272623352430291,1,7069.2505691774,10011.280223094114,298.2128758977174,8939.215629723629
fine,64x64x128,full,0,vorticity_transport_residual,18190.303630548344,504863.65182711906,22244799.52031375,0.000817732864435893,0.022695805883351843,0.14444444444444438,0.011111111111111072,0.984375,0.1448711645600588,1,7069.2505691774,10011.280223094114,298.2128758977174,8939.215629723629
fine,64x64x128,full,0,form_difference,16021.41474769437,343280.87415655376,752855.7655312768,0.021280855485497074,0.45597163477164393,-0.033333333333333326,0.16666666666666663,0.9765625,0.16996731711975946,0,7069.2505691774,10011.280223094114,298.2128758977174,8939.215629723629
fine,64x64x128,full,0,divergence,1.741249223945913,28.448751569344267,7069.2505691774,0.0002463131285143469,0.004024295261704757,-0.011111111111111183,-0.011111111111111183,0.9609375,0.015713484026367824,,7069.2505691774,10011.280223094114,298.2128758977174,8939.215629723629
fine,64x64x128,interior,4,curl_momentum_residual,12835.343439776647,278654.19576364977,21997418.596331537,0.0005834931668717333,0.012667586178049106,-0.12222222222222223,-0.011111111111111183,0.015625,0.12272623352430291,1,7069.2505691774,10011.280223094114,298.2128758977174,8939.215629723629
fine,64x64x128,interior,4,vorticity_transport_residual,20788.91277012095,504863.65182711906,22244799.52031375,0.0009345515904127031,0.022695805883351843,0.14444444444444438,0.011111111111111072,0.984375,0.1448711645600588,1,7069.2505691774,10011.280223094114,298.2128758977174,8939.215629723629
fine,64x64x128,interior,4,form_difference,18310.188267482128,343280.87415655376,752855.7655312768,0.02432097767699362,0.45597163477164393,-0.033333333333333326,0.16666666666666663,0.9765625,0.16996731711975946,0,7069.2505691774,10011.280223094114,298.2128758977174,8939.215629723629
fine,64x64x128,interior,4,divergence,1.9899467848120125,28.448751569344267,7069.2505691774,0.00028149331606498263,0.004024295261704757,-0.011111111111111183,-0.011111111111111183,0.9609375,0.015713484026367824,,7069.2505691774,10011.280223094114,298.2128758977174,8939.215629723629
