alpha,beta_r,beta_z,volume_exponent,thinnest_scale_exponent,energy_margin,critical_l3_margin,serrin_infinity_margin,dissipation_margin,time_term_exponent,inertial_term_exponent,viscous_term_exponent,balance_family,candidate_family,finite_energy_compatible,critical_l3_divergent,escapes_classical_serrin_scaling,finite_dissipation_compatible,generic_balance_compatible,passes_conditional_core_gates
0.5,0.26,0.5,1.02,0.5,0.020000000000000018,0.48,0.0,0.020000000000000018,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.28,0.5,1.06,0.5,0.06000000000000005,0.43999999999999995,0.0,0.06000000000000005,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.30000000000000004,0.5,1.1,0.5,0.10000000000000009,0.3999999999999999,0.0,0.10000000000000009,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.32,0.5,1.1400000000000001,0.5,0.14000000000000012,0.3599999999999999,0.0,0.14000000000000012,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.34,0.5,1.1800000000000002,0.5,0.18000000000000016,0.31999999999999984,0.0,0.18000000000000016,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.36,0.5,1.22,0.5,0.21999999999999997,0.28,0.0,0.21999999999999997,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.38,0.5,1.26,0.5,0.26,0.24,0.0,0.26,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.4,0.5,1.3,0.5,0.30000000000000004,0.19999999999999996,0.0,0.30000000000000004,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.42000000000000004,0.5,1.34,0.5,0.3400000000000001,0.15999999999999992,0.0,0.3400000000000001,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.44,0.5,1.38,0.5,0.3799999999999999,0.1200000000000001,0.0,0.3799999999999999,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.46,0.5,1.42,0.5,0.41999999999999993,0.08000000000000007,0.0,0.41999999999999993,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.48000000000000004,0.5,1.46,0.5,0.45999999999999996,0.040000000000000036,0.0,0.45999999999999996,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.2,1.2,0.5,0.19999999999999996,0.30000000000000004,0.0,0.19999999999999996,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.22,1.22,0.5,0.21999999999999997,0.28,0.0,0.21999999999999997,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.24000000000000002,1.24,0.5,0.24,0.26,0.0,0.24,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.26,1.26,0.5,0.26,0.24,0.0,0.26,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.28,1.28,0.5,0.28,0.21999999999999997,0.0,0.28,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.30000000000000004,1.3,0.5,0.30000000000000004,0.19999999999999996,0.0,0.30000000000000004,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.32,1.32,0.5,0.32000000000000006,0.17999999999999994,0.0,0.32000000000000006,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.34,1.34,0.5,0.3400000000000001,0.15999999999999992,0.0,0.3400000000000001,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.36,1.3599999999999999,0.5,0.3599999999999999,0.14000000000000012,0.0,0.3599999999999999,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.38,1.38,0.5,0.3799999999999999,0.1200000000000001,0.0,0.3799999999999999,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.4,1.4,0.5,0.3999999999999999,0.10000000000000009,0.0,0.3999999999999999,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
0.5,0.5,0.42000000000000004,1.42,0.5,0.41999999999999993,0.08000000000000007,0.0,0.41999999999999993,1.5,1.5,1.5,triple_parabolic,anisotropic_parabolic,True,True,True,True,True,True
