label,family,reynolds,nr,nz,integrator,tau,physical_time,steps,accepted_time_step,max_u1,max_omega1,max_speed,distance_to_first_picard,distance_to_second_picard,advection_over_source,viscous_over_source,rhs_change_rate,kinetic_energy,enstrophy,l3_norm,core_l3_fraction,effective_shell_count,radial_scale,axial_scale,shell_flux_upward,outer_band_fraction,relative_divergence,curl_defect,poisson_residual,front_points_radial,front_points_axial
S_Re10_medium,S,10.0,65,129,rk4,0.025,0.057903726928105505,77,0.0007528394599912014,0.41436993270118283,0.025293340443050625,0.17470952254206226,0.0001799940889417851,0.00013372050131714132,0.0003282672618074683,0.15318716165528415,0.0,0.03881840558479695,0.00010384889003261977,0.21391144111819588,0.9996574962345939,1.3441388891339034,0.6505741979698988,0.7294205585654895,0.0,4.1462443050241535e-41,0.003534780611799746,0.020781880176558146,2.885170401201176e-15,6.5,20.0
S_Re10_medium,S,10.0,65,129,rk4,0.05,0.11580745385621101,154,0.0007528394599912014,0.39704192732162447,0.04459338325387377,0.16388237290679433,0.0006172077139273943,0.000495538250064154,0.0010512308424224747,0.2853390606902916,0.3330612303203034,0.03461323139585294,0.0003236867930265974,0.2008837033539013,0.9994236724129687,1.3674271916643217,0.64868685136661,0.7289617683145989,0.0,4.617676800330278e-31,0.003619241635255698,0.018293093228979616,6.085409953726639e-15,6.5,20.0
S_Re10_medium,S,10.0,65,129,rk4,0.1,0.23161490771242202,308,0.0007528394599912014,0.3629105888010448,0.06922520000654599,0.14395520103403894,0.0019450542846075202,0.0016797816935544406,0.002870818533370148,0.5331294513903301,0.8601472620119458,0.027952220684885492,0.0007975574761166857,0.17833840529068887,0.9986597768493318,1.4070244388091144,0.6498288418133118,0.7301223321569984,0.0,4.906251485471184e-22,0.0037682396307966593,0.016101565100875147,9.700573677662305e-15,6.5,21.0
S_Re10_medium,S,10.0,65,129,rk4,0.2,0.46322981542484404,616,0.0007528394599912014,0.29893870130607403,0.08423854607792383,0.11246426156004381,0.004978697997181097,0.004684600460222431,0.0062580786568013245,0.9734096053517144,2.8899232433332176,0.018979486986437675,0.0012701815598370253,0.14334728248301237,0.9956576837678744,1.493597175247551,0.6631195989249905,0.7380510994512279,0.0,1.1756121403991014e-14,0.003946235805605296,0.012701350011551357,9.624245844719326e-15,7.5,20.0
S_Re10_medium,S,10.0,65,129,rk4,0.4,0.9264596308496881,1232,0.0007528394599912014,0.1952653540825585,0.06582363040630672,0.07145217598034587,0.00880852373691065,0.008461806223109446,0.009199032817030835,1.7514671425579462,1.3177703158232004,0.009717207197485261,0.0009590650864533005,0.09797276829268363,0.9814086501941258,1.5730852754435136,0.7082216943184059,0.7658997465093405,0.0,2.208572916487602e-09,0.00380941519900594,0.010215980462942963,1.0512424264419451e-14,8.0,23.0
S_Re10_medium,S,10.0,65,129,rk4,0.7,1.621304353986954,2155,0.0007528394599912014,0.10438185204888781,0.03291596895484818,0.04031172246582889,0.009972101652496025,0.008726621175330521,0.01029818981277887,2.5767055286772194,0.7771023420118586,0.004257307115822676,0.0003656478086772761,0.061188009264453155,0.9334432269448564,1.6360662386071765,0.7879258439044984,0.8196334767024495,0.0,1.4046467257555371e-06,0.0031633385944649273,0.008635636994518869,1.0071804501521342e-14,9.0,27.0
S_Re10_medium,S,10.0,65,129,rk4,1.0,2.31614907712422,3078,0.0007528394599912014,0.06001738837492263,0.01679077824682635,0.025024844997352958,0.009371405305467349,0.007413950840827835,0.010139251973318086,2.9794401123955296,1.3924607770214523,0.0021664594195202713,0.0001448242417261189,0.04159795831010636,0.8552779303645971,1.659124542253968,0.8671316323088726,0.8771787025252454,0.0,2.5467633266777574e-05,0.002561767600191851,0.006545034053143691,5.80265002714242e-15,10.5,30.0
S_Re25_medium,S,25.0,65,129,rk4,0.025,0.057903726928105505,31,0.0018820986499780037,0.4247265212471852,0.02723420475794509,0.18137037201649403,0.00020019627846082995,0.0001398795440425354,0.00038028344487453687,0.06474206363547663,0.0,0.041737720530014594,0.00012094224238739773,0.22242542321777992,0.9997527714918831,1.3368919030265072,0.6529018520012522,0.730119684518255,0.0,2.872741033087285e-55,0.003481523299029581,0.02220629837874134,3.1433189384699745e-15,6.5,19.0
S_Re25_medium,S,25.0,65,129,rk4,0.05,0.11580745385621101,62,0.0018820986499780037,0.41757272626461667,0.05184218317777742,0.17690032987901325,0.0007452305578537003,0.0005429757324185801,0.0013784884130054636,0.12495681062454816,0.12059978190043946,0.03975305015177336,0.00043681498464918727,0.21667608098462363,0.9996925997897275,1.3425971547996804,0.6512874569138838,0.7296120302002966,0.0,1.6917714217958235e-44,0.0035161966492722337,0.02129037637946835,7.466249840604178e-15,6.5,19.0
S_Re25_medium,S,25.0,65,129,rk4,0.1,0.23161490771242202,124,0.0018820986499780037,0.402993476921304,0.09369036108074205,0.16809683233029876,0.0026125447010631373,0.0020445676065086434,0.004593089686228815,0.2323697905527302,0.261929653865096,0.03620811794664302,0.0014281480285854816,0.2058943468740969,0.9995253914245298,1.3596021097177646,0.6494042357460879,0.7290375823045969,0.0,3.0282194007493602e-34,0.0035818630250181597,0.019238130533593096,1.1338152638984411e-14,6.5,20.0
S_Re25_medium,S,25.0,65,129,rk4,0.2,0.46322981542484404,248,0.0018820986499780037,0.37342422875700426,0.15236039532211623,0.15137155717792325,0.008556747925004363,0.0072017598472507655,0.013391731139381255,0.44192747255508646,0.6573141118021629,0.030378465746913566,0.003849629158982023,0.18673072711220998,0.9989981952568746,1.3917755057119792,0.6494767916128216,0.7293467599081003,0.0,7.541540116456776e-25,0.0036968495923375075,0.01703629838363978,1.762479051592436e-14,6.5,21.0
S_Re25_medium,S,25.0,65,129,rk4,0.4,0.9264596308496881,495,0.0018820986499780037,0.31656574854432334,0.2019614838555246,0.1233108123879465,0.023769225881406685,0.021726538352246635,0.0320378565783324,0.825015696075654,2.2991916578965754,0.02202199500255331,0.007205847109600569,0.15567203408013866,0.9970152519589905,1.4478214801369893,0.6586997392275468,0.7342048938459294,0.0,6.780623412524383e-17,0.0038488204949652396,0.013824060298518527,2.503552920529728e-14,7.0,20.0
