axial_case,mode,kr_smaller,bracket_variant,bracket_value,exact_bracket_value,full_solve_r_dependence,full_detection_factor,full_solve_error,single_mode_r_dependence,single_mode_detection_factor,single_mode_error,detected,detected_where
k0,0,0.0,exact,2.0,2.0,9.069540726248937e-07,,,9.069540726248937e-07,,,,
k0,0,0.0,sign_flipped,-2.0,2.0,0.0033967192508601533,3745.1943305457753,,0.0033967192508601533,3745.1943305457753,,True,core R-dependence of the full solve grew by 3.75e+03x; core R-dependence of this case's own mode grew by 3.75e+03x
k0,0,0.0,no_curvature_term,0.0,2.0,,,LinAlgError: unsafe final pivot in radial Thomas solve,,,LinAlgError: unsafe final pivot in radial Thomas solve,True,full solve refused (LinAlgError: unsafe final pivot in radial Thomas solve); single-mode solve refused (LinAlgError: unsafe final pivot in radial Thomas solve)
k0,0,0.0,frozen_ratio,2.0,2.0,9.069540726248937e-07,1.0,,9.069540726248937e-07,1.0,,False,
Lz1_m1,1,6.283185307179586,exact,7.8349466995399215,7.8349466995399215,2.651139432519132e-08,,,2.651139432519132e-08,,,,
Lz1_m1,1,6.283185307179586,sign_flipped,-7.8349466995399215,7.8349466995399215,9.617872753239624e-05,3627.826071788556,,9.617872753239608e-05,3627.82607178855,,True,core R-dependence of the full solve grew by 3.63e+03x; core R-dependence of this case's own mode grew by 3.63e+03x
Lz1_m1,1,6.283185307179586,no_curvature_term,5.8349466995399215,7.8349466995399215,,,LinAlgError: unsafe final pivot in radial Thomas solve,3.4449806741073394e-06,129.94339836867402,,True,full solve refused (LinAlgError: unsafe final pivot in radial Thomas solve); core R-dependence of this case's own mode grew by 130x
Lz1_m1,1,6.283185307179586,frozen_ratio,8.283185307179586,7.8349466995399215,5.968988900999196e-07,22.51480562577359,,5.968988900999196e-07,22.51480562577359,,True,core R-dependence of the full solve grew by 22.5x; core R-dependence of this case's own mode grew by 22.5x
Lz8_m1,1,0.7853981633974483,exact,2.5123338859448285,2.5123338859448285,7.009536730677793e-07,,,7.009536730677793e-07,,,,
Lz8_m1,1,0.7853981633974483,sign_flipped,-2.5123338859448285,2.5123338859448285,0.0029100166501619586,4151.510666070184,,0.0029100166501619586,4151.510666070184,,True,core R-dependence of the full solve grew by 4.15e+03x; core R-dependence of this case's own mode grew by 4.15e+03x
Lz8_m1,1,0.7853981633974483,no_curvature_term,0.5123338859448285,2.5123338859448285,,,LinAlgError: unsafe final pivot in radial Thomas solve,0.004543742608535434,6482.229544000225,,True,full solve refused (LinAlgError: unsafe final pivot in radial Thomas solve); core R-dependence of this case's own mode grew by 6.48e+03x
Lz8_m1,1,0.7853981633974483,frozen_ratio,2.7853981633974483,2.5123338859448285,0.00013042234705345438,186.06414669695738,,0.00013042234705345438,186.06414669695738,,True,core R-dependence of the full solve grew by 186x; core R-dependence of this case's own mode grew by 186x
Lz32_m1,1,0.19634954084936207,exact,2.0713573304933366,2.0713573304933366,8.78944293475608e-07,,,8.78944293475608e-07,,,,
Lz32_m1,1,0.19634954084936207,sign_flipped,-2.0713573304933366,2.0713573304933366,0.0033552013037574597,3817.3082511179323,,0.0033552013037574597,3817.3082511179323,,True,core R-dependence of the full solve grew by 3.82e+03x; core R-dependence of this case's own mode grew by 3.82e+03x
Lz32_m1,1,0.19634954084936207,no_curvature_term,0.0713573304933367,2.0713573304933366,,,LinAlgError: unsafe final pivot in radial Thomas solve,0.04936514558538671,56164.13457806546,,True,full solve refused (LinAlgError: unsafe final pivot in radial Thomas solve); core R-dependence of this case's own mode grew by 5.62e+04x
Lz32_m1,1,0.19634954084936207,frozen_ratio,2.1963495408493623,2.0713573304933366,8.282115977913378e-05,94.22799646566247,,8.282115977913378e-05,94.22799646566247,,True,core R-dependence of the full solve grew by 94.2x; core R-dependence of this case's own mode grew by 94.2x
