axial_case,mode,wavenumber,points_per_unit_radius,dr,transparent_wall_radius,largest_reference_radius,difference_at_largest_reference,oracle_wall_term_bound_at_largest_reference,closed_form_wall_term_at_largest_reference,wall_corrected_residual,wall_corrected_residual_over_dr_squared,difference_over_dr_squared
k0,0,0.0,64,0.015625,1.0,16.0,9.811346053378855e-06,8.858916702216457e-06,8.837958441840277e-06,9.733876115385782e-07,0.003986995656862016,0.04018727343463979
k0,0,0.0,128,0.0078125,1.0,16.0,9.081162652128938e-06,8.843195726303407e-06,8.837958441840277e-06,2.4320421028866066e-07,0.003984657781369416,0.14878576889248052
k0,0,0.0,256,0.00390625,1.0,16.0,8.898750577628067e-06,8.839267620448332e-06,8.837958441840277e-06,6.079213578779005e-08,0.003984073410988609,0.583188517855433
Lz1_m1,1,6.283185307179586,64,0.015625,1.0,16.0,2.6511451690667078e-08,9.921786623320355e-85,,,,0.00010859090612497235
Lz1_m1,1,6.283185307179586,128,0.0078125,1.0,16.0,6.871920485898423e-09,2.589168647896347e-85,,,,0.00011258954524095977
Lz1_m1,1,6.283185307179586,256,0.00390625,1.0,16.0,1.7177525847046626e-09,6.645887549179107e-86,,,,0.00011257463339120477
Lz8_m1,1,0.7853981633974483,64,0.015625,1.0,16.0,7.246855666920814e-07,3.059824699209976e-14,,,,0.0029683120811707653
Lz8_m1,1,0.7853981633974483,128,0.0078125,1.0,16.0,1.8125902317240802e-07,3.052321878511062e-14,,,,0.002969747835656733
Lz8_m1,1,0.7853981633974483,256,0.00390625,1.0,16.0,4.530829387713875e-08,3.049639469278282e-14,,,,0.002969324347532165
Lz32_m1,1,0.19634954084936207,64,0.015625,1.0,16.0,1.2635905557428079e-06,3.3168244053120906e-07,,,,0.005175666916322541
Lz32_m1,1,0.19634954084936207,128,0.0078125,1.0,16.0,5.63923692745421e-07,3.3106800447072895e-07,,,,0.009239325781940977
Lz32_m1,1,0.19634954084936207,256,0.00390625,1.0,16.0,3.891142670887915e-07,3.3090890583687495e-07,,,,0.02550099260793104
