axial_case,mode,wavenumber,points_per_unit_radius,dr,wall_radius,max_error_all_rows,max_error_boundary_row,max_error_over_dr_squared,observed_order_all_rows,observed_order_boundary_row
k0,0,0.0,64,0.015625,1.25,0.001651469147367024,0.0002955932203345668,6.76441762761533,,
k0,0,0.0,128,0.0078125,1.25,0.0004117939905095014,7.316241097476972e-05,6.746832740507671,2.0037553361914204,2.0144386573321635
k0,0,0.0,256,0.00390625,1.25,0.00010274812195731897,1.8164969992184865e-05,6.733700920594856,2.0028107518492853,2.009943635581399
Lz1_m1,1,6.283185307179586,64,0.015625,1.25,0.004667089158985505,0.00016851071130465078,19.116397195204627,,
Lz1_m1,1,6.283185307179586,128,0.0078125,1.25,0.0011688362186212942,4.172297417809334e-05,19.150212605891284,1.9974502398694065,2.0139263909318763
Lz1_m1,1,6.283185307179586,256,0.00390625,1.25,0.000292346244663122,1.0359031177117894e-05,19.159203490242362,1.9993228242126109,2.0099529204666133
Lz8_m1,1,0.7853981633974483,64,0.015625,1.25,0.001936645997504094,0.00025200293802501994,7.932502005776769,,
Lz8_m1,1,0.7853981633974483,128,0.0078125,1.25,0.0004832030585948388,6.235121009590117e-05,7.916798912017839,2.002858773774697,2.0149510888770243
Lz8_m1,1,0.7853981633974483,256,0.00390625,1.25,0.00012061349294167911,1.5476773922717957e-05,7.904525873425882,2.0022382772245653,2.0103127814910247
Lz32_m1,1,0.19634954084936207,64,0.015625,1.25,0.001690021724783719,0.0002889520560239722,6.922328984714113,,
Lz32_m1,1,0.19634954084936207,128,0.0078125,1.25,0.0004214429179585366,7.151696303930866e-05,6.904920767832664,2.003632647400495,2.014472756340972
Lz32_m1,1,0.19634954084936207,256,0.00390625,1.25,0.00010516148736972042,1.7756131683199783e-05,6.891863236261997,2.0027307873577094,2.0099681607766016
