axial_case,mode,wavenumber,points_per_unit_radius,dr,smaller_radius,larger_radius,kr_smaller,transparent_core_difference,dirichlet_core_difference,transparent_over_dr_squared,improvement_factor,signed_dirichlet_core_difference,signed_transparent_core_difference,zero_mode_closed_form,zero_mode_closed_form_relative_error,outer_condition_defect_max_abs
k0,0,0.0,64,0.015625,1.0,1.5,0.0,7.763302670056593e-07,0.0012576933341168096,0.0031798487736551806,1620.0493366924738,-0.001257693334116801,7.763302670004701e-07,-0.0012569540895061729,0.0005881237960874476,6.9025155514275405e-06
k0,0,0.0,64,0.015625,1.0,2.0,0.0,9.069540726248937e-07,0.0016979061483937893,0.0037148838814715646,1872.0971652729154,-0.0016979061483937787,9.069540726194428e-07,-0.0016968880208333332,0.0005999969048903306,6.9025155514275405e-06
k0,0,0.0,64,0.015625,1.0,3.0,0.0,9.554701449233927e-07,0.0020123502696665317,0.003913605713606216,2106.1362098633413,-0.0020123502696665105,9.55470144920125e-07,-0.002011126543209876,0.0006084780993846071,6.9025155514275405e-06
k0,0,0.0,128,0.0078125,1.0,1.5,0.0,1.9396591545775554e-07,0.0012571389016291885,0.003177937558859867,6481.236142248842,-0.001257138901629169,1.939659154487604e-07,-0.0012569540895061729,0.00014703172099842475,1.6904112139001087e-06
k0,0,0.0,128,0.0078125,1.0,2.0,0.0,2.26603868214853e-07,0.0016971425523912265,0.0037126777768321517,7489.4685856910955,-0.0016971425523912116,2.266038682077197e-07,-0.0016968880208333332,0.0001499990304329705,1.6904112139001087e-06
k0,0,0.0,128,0.0078125,1.0,3.0,0.0,2.3872645261296954e-07,0.002011432472888257,0.003911294199610893,8425.67906016369,-0.0020114324728882325,2.387264526036753e-07,-0.002011126543209876,0.00015211856229995123,1.6904112139001087e-06
k0,0,0.0,256,0.00390625,1.0,1.5,0.0,4.848418973593671e-08,0.0012570002925984354,0.0031774598585343483,25925.983283304016,-0.0012570002925983883,4.8484189709439e-08,-0.0012569540895061729,3.675797915067841e-05,4.183825170703953e-07
k0,0,0.0,256,0.00390625,1.0,2.0,0.0,5.6642553071528656e-08,0.0016969516537031315,0.003712126358095702,29958.954208158797,-0.0016969516537030673,5.6642553034830994e-08,-0.0016968880208333332,3.749974597782561e-05,4.183825170703953e-07
k0,0,0.0,256,0.00390625,1.0,3.0,0.0,5.967279726598607e-08,0.002011203025509764,0.003910716441623663,33703.850291197334,-0.0020112030255096994,5.967279721430857e-08,-0.002011126543209876,3.8029581023364225e-05,4.183825170703953e-07
Lz1_m1,1,6.283185307179586,64,0.015625,1.0,1.5,6.283185307179586,2.647531479429467e-08,1.8217526264470213e-05,0.00010844288939743096,688.0947934336184,5.2384606582778885e-20,-2.4129072394192303e-24,,,2.097508753711983e-06
Lz1_m1,1,6.283185307179586,64,0.015625,1.0,2.0,6.283185307179586,2.651139432519132e-08,1.8250271138352855e-05,0.00010859067115598364,688.3934852498993,7.293975957002764e-20,-1.744477561236563e-23,,,2.097508753711983e-06
Lz1_m1,1,6.283185307179586,64,0.015625,1.0,3.0,6.283185307179586,2.6511451690504448e-08,1.825033133381795e-05,0.00010859090612430622,688.39426625418,8.614407221168102e-20,-1.757313122465834e-23,,,2.097508753711983e-06
Lz1_m1,1,6.283185307179586,128,0.0078125,1.0,1.5,6.283185307179586,6.862569794846346e-09,1.888599466347415e-05,0.00011243634351876253,2752.0295207281038,4.689942932359277e-20,-7.8955414530368e-24,,,5.064584946182709e-07
Lz1_m1,1,6.283185307179586,128,0.0078125,1.0,2.0,6.283185307179586,6.8719056689204834e-09,1.8919874101472098e-05,0.0001125893024795932,2753.220869582199,6.725035426994912e-20,-8.911578630551759e-24,,,5.064584946182709e-07
Lz1_m1,1,6.283185307179586,128,0.0078125,1.0,3.0,6.283185307179586,6.871920485844213e-09,1.8919936262193072e-05,0.00011258954524007159,2753.2239788232596,8.12330153445455e-20,-8.944113212834287e-24,,,5.064584946182709e-07
Lz1_m1,1,6.283185307179586,256,0.00390625,1.0,1.5,6.283185307179586,1.7154162340008317e-09,1.88829029080045e-05,0.00011242151831147851,11007.767405794146,4.705547616206418e-20,-1.4772481143757652e-25,,,1.244719340752079e-07
Lz1_m1,1,6.283185307179586,256,0.00390625,1.0,2.0,6.283185307179586,1.7177488842684378e-09,1.8916760064131953e-05,0.00011257439087941634,11012.529385043556,6.745829060881975e-20,-1.7272095176888504e-25,,,1.244719340752079e-07
Lz1_m1,1,6.283185307179586,256,0.00390625,1.0,3.0,6.283185307179586,1.7177525846775576e-09,1.891682215388821e-05,0.00011257463338942841,11012.541807607944,8.201735691649595e-20,-1.8079189355465169e-25,,,1.244719340752079e-07
Lz8_m1,1,0.7853981633974483,64,0.015625,1.0,1.5,0.7853981633974483,6.185931230077123e-07,0.0010864669472643153,0.0025337574318395895,1756.3514802455536,5.888339385050585e-20,-4.700667756853067e-22,,,6.804326135788527e-06
Lz8_m1,1,0.7853981633974483,64,0.015625,1.0,2.0,0.7853981633974483,7.009536730677793e-07,0.0013923278357275792,0.002871106244885624,1986.3336040938998,7.243592100657465e-20,-4.698385879301197e-22,,,6.804326135788527e-06
Lz8_m1,1,0.7853981633974483,64,0.015625,1.0,3.0,0.7853981633974483,7.225868902966531e-07,0.0015409880973612938,0.002959715902655091,2132.5990244974573,8.692310520788958e-20,-4.693822124197456e-22,,,6.804326135788527e-06
Lz8_m1,1,0.7853981633974483,128,0.0078125,1.0,1.5,0.7853981633974483,1.547219298514424e-07,0.001087158388978751,0.0025349640986860322,7026.530692983184,5.000415192066766e-20,9.339724819805634e-22,,,1.666002852281672e-06
Lz8_m1,1,0.7853981633974483,128,0.0078125,1.0,2.0,0.7853981633974483,1.7532282609944785e-07,0.0013932026500166885,0.0028724891828133536,7946.498930073294,6.519232890591719e-20,9.340295289193602e-22,,,1.666002852281672e-06
Lz8_m1,1,0.7853981633974483,128,0.0078125,1.0,3.0,0.7853981633974483,1.8073404515865643e-07,0.0015419492861594515,0.002961146595879427,8531.592842985723,7.337057805182077e-20,9.341436227969537e-22,,,1.666002852281672e-06
Lz8_m1,1,0.7853981633974483,256,0.00390625,1.0,1.5,0.7853981633974483,3.8674875164814576e-08,0.001087044212976173,0.002534596618801288,28107.245552666667,5.0807309598076126e-20,-1.862051595357465e-25,,,4.122958043545802e-07
Lz8_m1,1,0.7853981633974483,256,0.00390625,1.0,2.0,0.7853981633974483,4.382441278838814e-08,0.00139305351205905,0.002872076716499805,31787.157509345063,6.488785729269307e-20,-1.7188168572530446e-25,,,4.122958043545802e-07
Lz8_m1,1,0.7853981633974483,256,0.00390625,1.0,3.0,0.7853981633974483,4.5177043147669876e-08,0.0015417824677592382,0.002960722699725693,34127.56480586003,7.955509447458571e-20,-1.3965386965180987e-25,,,4.122958043545802e-07
Lz32_m1,1,0.19634954084936207,64,0.015625,1.0,1.5,0.19634954084936207,7.552395730209965e-07,0.001245880543434556,0.003093461291094002,1649.649446269044,3.738628180984498e-20,-1.825502041496337e-24,,,6.896998568896034e-06
Lz32_m1,1,0.19634954084936207,64,0.015625,1.0,2.0,0.19634954084936207,8.78944293475608e-07,0.0016757270131442035,0.00360015582607609,1906.5224333135823,4.392888112656785e-20,0.0,,,6.896998568896034e-06
Lz32_m1,1,0.19634954084936207,64,0.015625,1.0,3.0,0.19634954084936207,9.230415301589821e-07,0.0019744459157403334,0.003780778107531191,2139.065092120243,5.70140797600136e-20,-4.563755103740843e-24,,,6.896998568896034e-06
Lz32_m1,1,0.19634954084936207,128,0.0078125,1.0,1.5,0.19634954084936207,1.887095246399205e-07,0.001245416837258239,0.0030918168517004574,6599.650121712922,3.6451624764598857e-20,-4.563755103740842e-25,,,1.689039494899579e-06
Lz32_m1,1,0.19634954084936207,128,0.0078125,1.0,2.0,0.19634954084936207,2.1962080065879644e-07,0.0016750885589413072,0.003598267197993721,7627.185375504254,4.626552373968316e-20,0.0,,,1.689039494899579e-06
Lz32_m1,1,0.19634954084936207,128,0.0078125,1.0,3.0,0.19634954084936207,2.3064002259128372e-07,0.0019736814674010455,0.0037788061301355924,8557.411004501151,6.075270794099809e-20,0.0,,,1.689039494899579e-06
Lz32_m1,1,0.19634954084936207,256,0.00390625,1.0,1.5,0.19634954084936207,4.717031596096835e-08,0.0012452799560340397,0.003091353826818022,26399.652634603117,4.071625041693399e-20,-7.161736905221019e-26,,,4.180404108820707e-07
Lz32_m1,1,0.19634954084936207,256,0.00390625,1.0,2.0,0.19634954084936207,5.489707383338552e-08,0.001674900762543384,0.0035977346307447533,30509.836783409704,5.303672964972381e-20,-1.4323473810442038e-26,,,4.180404108820707e-07
Lz32_m1,1,0.19634954084936207,256,0.00390625,1.0,3.0,0.19634954084936207,5.765151522797371e-08,0.0019734571498994,0.003778249701980485,34230.794144710315,6.50051951901482e-20,0.0,,,4.180404108820707e-07
