axial_case,points_per_unit_radius,wall_radius,kr,nr,response_max_abs,response_relative_to_reference_core_max,argmax_r,argmax_z,response_spread_over_abs_mean,oracle_amplitude,oracle_predicted_response,floor_margin,oracle_comparable
k0,64,1.0,0.0,65,0.002228533695428256,0.08892092050577077,0.375,0.0,1.1481617407512863e-14,0.00222716552734375,0.0022285336954282566,25029014028451.93,True
k0,64,1.5,0.0,97,0.0009708403613114605,0.03873758730642866,0.078125,0.0,2.7695813801271086e-14,0.0009702114378375771,0.000970807447567512,10903291825445.547,True
k0,64,2.0,0.0,129,0.0005306275470344721,0.021172616786015043,0.109375,0.0,1.5528663291117466e-14,0.0005302775065104166,0.0005306032608162515,5959289054393.314,True
k0,64,3.0,0.0,193,0.0002161834257617401,0.008625954032582294,0.328125,0.0,1.1234038214586389e-13,0.00021603898413387343,0.00021617169885106542,2427858503641.721,True
k0,64,4.0,0.0,257,0.00010612672387990546,0.004234571815998267,0.09375,0.0,6.538309720895181e-14,0.00010605550130208333,0.0001061206521632503,1191857810878.663,True
k0,128,1.0,0.0,129,0.002227507565965832,0.08895415129259802,0.8984375,0.0,1.6743626510345936e-14,0.00222716552734375,0.002227507565965832,25038367663400.2,True
k0,128,1.5,0.0,193,0.0009703686643366648,0.038751078692553356,0.0,0.0,3.709467695056468e-14,0.0009702114378375771,0.0009703604387893484,10907366512980.334,True
k0,128,2.0,0.0,257,0.0005303650135746116,0.021179802205233217,0.015625,0.0,3.1072700121576927e-14,0.0005302775065104166,0.0005303589442775791,5961516110333.381,True
k0,128,3.0,0.0,385,0.00021607509307759384,0.008628826592493519,0.015625,0.0,9.834711756012557e-14,0.00021603898413387343,0.00021607216248345813,2428765822728.414,True
k0,128,4.0,0.0,513,0.00010607330618992925,0.004235972560135302,0.0390625,0.0,2.657525959844617e-13,0.00010605550130208333,0.00010607178885551582,1192303222066.6763,True
k0,256,1.0,0.0,257,0.0022272510367883636,0.0889625079236701,0.6015625,0.0,8.372777499586074e-14,0.00222716552734375,0.0022272510367883636,25040719845936.59,True
k0,256,1.5,0.0,385,0.0009702507441899291,0.03875447270748997,0.61328125,0.0,8.179699886981611e-14,0.0009702114378375771,0.0009702486879836433,10908391185090.543,True
k0,256,2.0,0.0,513,0.0005302993830852334,0.021181610106090723,0.6171875,0.0,7.850916812541963e-14,0.0005302775065104166,0.0005302978659019913,5962076153794.426,True
k0,256,3.0,0.0,769,0.00021604801127860038,0.008629549430126488,0.56640625,0.0,1.967188909072136e-13,0.00021603898413387343,0.00021604727870081124,2428993988582.914,True
k0,256,4.0,0.0,1025,0.00010605995247692235,0.004236325051269396,0.62109375,0.0,3.925455598568999e-13,0.00010605550130208333,0.00010605957318039825,1192415230758.8853,True
Lz1_m1,64,1.0,6.283185307179586,65,1.825033133402479e-05,0.0017504918324539594,0.890625,0.5,3.467661068811213,1.2362328609805179e-05,1.825033133402479e-05,492719647772.17175,True
Lz1_m1,64,1.5,9.42477796076938,97,3.280506955457576e-08,3.1465185627238054e-06,0.890625,0.5,3.4676610690283636,2.2162907524335336e-08,3.271878773095041e-08,883336815.7141888,True
Lz1_m1,64,2.0,12.566370614359172,129,6.019567193337773e-11,5.773705153067914e-09,0.890625,0.5,3.4676614355485156,4.0563177665512994e-11,5.988284697183702e-11,1616707.923135086,True
Lz1_m1,64,3.0,18.84955592153876,193,2.068386694559221e-16,1.9839059077421573e-14,0.890625,0.0,3.6234047552925595,1.3865485160715565e-16,2.0469420145437378e-16,5.5263026733971525,True
Lz1_m1,64,4.0,25.132741228718345,257,8.673617379884035e-19,8.319353826202206e-17,0.109375,0.15625,,4.787372727713243e-22,7.067530823516721e-22,1.908081137951682e-05,False
Lz1_m1,128,1.0,6.283185307179586,129,1.891993626240582e-05,0.0018158963567045277,0.8984375,0.5,3.552116497047669,1.2362328609805179e-05,1.891993626240582e-05,511129384712.372,True
Lz1_m1,128,1.5,9.42477796076938,193,3.394159893166946e-08,3.2576444754316285e-06,0.8984375,0.5,3.552116496715958,2.2162907524335336e-08,3.3919240539960625e-08,916341382.2672396,True
Lz1_m1,128,2.0,12.566370614359172,257,6.216093372186145e-11,5.9660778720047615e-09,0.8984375,0.5,3.5521163066210057,4.0563177665512994e-11,6.207994951885069e-11,1677113.810557332,True
Lz1_m1,128,3.0,18.84955592153876,385,2.127475712959681e-16,2.0419071938509832e-14,0.8984375,0.5,3.4748233588487385,1.3865485160715565e-16,2.122044347534994e-16,5.732784754899634,True
Lz1_m1,128,4.0,25.132741228718345,513,8.673617379884035e-19,8.324758593863098e-17,0.0625,0.125,,4.787372727713243e-22,7.326838634662525e-22,1.9793737522589785e-05,False
Lz1_m1,256,1.0,6.283185307179586,257,1.8916822154100536e-05,0.0018158938460208762,0.8984375,0.5,3.568605770549555,1.2362328609805179e-05,1.8916822154100536e-05,511128678017.7497,True
Lz1_m1,256,1.5,9.42477796076938,385,3.391924609603611e-08,3.2560305185354898e-06,0.8984375,0.5,3.5686057717123703,2.2162907524335336e-08,3.391365763591648e-08,916340115.320853,True
Lz1_m1,256,2.0,12.566370614359172,513,6.208996858325655e-11,5.960239565159994e-09,0.8984375,0.5,3.568606954565552,4.0563177665512994e-11,6.206973153060238e-11,1677111.4917563663,True
Lz1_m1,256,3.0,18.84955592153876,769,2.1232744295412997e-16,2.0382075480800346e-14,0.8984375,0.5,3.6490480497132536,1.3865485160715565e-16,2.1216950717322013e-16,5.7327768286714065,True
