boundary_mode,enlarged,enlarged_extent,r_max,z_max,common_interior_max_diff,boundary_data_error_max,tail_bound
zero,radial,5.0,5.0,20.0,2.499435808774919e-05,3.0091167766636873e-05,0.00016346950638324682
zero,radial,7.5,7.5,20.0,7.077566592782078e-06,8.966887709043359e-06,1.7130914063816788e-05
zero,radial,11.25,11.25,20.0,1.9900716486357002e-06,2.6639100948007456e-06,2.330660546054676e-06
zero,axial,5.0,20.0,5.0,1.320251465218705e-05,3.89433526076335e-05,0.00016346950638324682
zero,axial,7.5,20.0,7.5,2.381152440176533e-06,1.0529580189154024e-05,1.7130914063816788e-05
zero,axial,11.25,20.0,11.25,4.0589977166804125e-07,2.9492348057362864e-06,2.330660546054676e-06
monopole,radial,5.0,5.0,20.0,1.6137608731531651e-06,1.8120921509090303e-06,0.00016346950638324682
monopole,radial,7.5,7.5,20.0,3.3899071791177056e-07,3.533293327413501e-07,1.7130914063816788e-05
monopole,radial,11.25,11.25,20.0,7.454326437193737e-08,6.949222726635226e-08,2.330660546054676e-06
monopole,axial,5.0,20.0,5.0,1.6252245846825285e-06,8.52863201169956e-06,0.00016346950638324682
monopole,axial,7.5,20.0,7.5,1.7811144943234887e-07,1.5178111236921173e-06,1.7130914063816788e-05
monopole,axial,11.25,20.0,11.25,2.3899955199212664e-08,2.7908100856238767e-07,2.330660546054676e-06
