family,integrator,boundary_mode,nr,nz,r_max,z_max,steps,time_step,final_max_omega1,final_energy,final_l3,max_relative_divergence,max_curl_defect,max_poisson_residual,max_outer_band_fraction,max_energy_increase,boundary_sensitivity,derivative_tail_bound,velocity_tail_bound,low_frequency_fraction,neglected_source_fraction,effective_shell_count,diverged
time_refinement,rk4,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
time_refinement,rk4,monopole,65,129,4.0,4.0,80,0.00125,0.0004898581266378364,7.430447702089652e-05,0.010862564926962234,0.0070804902334298675,0.018030406574382783,2.4665599424045226e-17,7.424319302919415e-87,0.0,6.487409025172166e-24,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454393,6.655556582849144e-11,1.8944273151024342,False
time_refinement,rk4,monopole,65,129,4.0,4.0,160,0.000625,0.0004898581266378479,7.430447702089652e-05,0.010862564926962234,0.0070804902334300635,0.018030406574386076,2.4990860075790877e-17,7.484067573097656e-87,0.0,2.2087171917649916e-26,7.055892294444036e-06,2.8399966485137242e-05,0.8111086323454396,6.655556695060555e-11,1.8944273151024342,False
radial_refinement,rk4,monopole,33,129,4.0,4.0,40,0.0025,0.0004900526586079914,7.432829342283712e-05,0.010863868603257517,0.024729263852011595,0.03699151539656353,1.0625181290357943e-17,9.220183849498454e-49,0.0,4.4010760272110836e-26,3.616550949645357e-06,1.4647031346063697e-05,0.811827135307185,9.201732249159123e-10,1.8818572092148864,False
radial_refinement,rk4,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
radial_refinement,rk4,monopole,129,129,4.0,4.0,40,0.0025,0.0004898018267430486,7.43006607319236e-05,0.010862235866047962,0.001829554984175821,0.0139900481919926,6.62989628474886e-17,6.477230289669001e-88,0.0,5.143250033838552e-26,7.103642902911963e-06,2.859216268422065e-05,0.8106997894042438,2.3910534554917215e-11,1.903860581457095,False
axial_refinement,rk4,monopole,65,65,4.0,4.0,40,0.0025,0.00045682898394182856,7.430697346632361e-05,0.010862844064025944,0.0070642058165120815,0.05308409437037073,1.1384122811097797e-17,1.399318633040807e-49,0.0,7.547655381109486e-26,4.21009568761502e-06,1.7050887534840832e-05,0.2916015298397274,2.1358158205494167e-11,1.865038324503017,False
axial_refinement,rk4,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
axial_refinement,rk4,monopole,65,257,4.0,4.0,40,0.0025,0.0004949604458972894,7.430384826262889e-05,0.010862494524046262,0.00708443072950895,0.00941553837120396,6.25584653524136e-17,6.134271526545122e-87,0.0,2.503206046737778e-25,6.647886224872797e-06,2.6757742055113006e-05,0.9999932532974475,5.078833954025291e-10,1.9308461256913938,False
joint_refinement,rk4,monopole,33,65,4.0,4.0,40,0.0025,0.00045701778057459643,7.4330790596138e-05,0.01086414776344855,0.024673993941500192,0.07157958526347766,4.174178364069192e-18,1.0582414059781569e-48,0.0,9.871437771516027e-26,4.2100881543501945e-06,1.7050857025118286e-05,0.2921570318205621,2.7892501509037216e-11,1.8596649808784425,False
joint_refinement,rk4,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
joint_refinement,rk4,monopole,129,257,4.0,4.0,40,0.0025,0.0004949036237863342,7.430003200627894e-05,0.010862165464608204,0.0018305777696995987,0.0045889670752586025,1.349831704744453e-16,2.3753445263201502e-149,0.0,1.1383909405588343e-24,1.3295986027980281e-05,5.335014393727088e-05,0.9999930572793103,1.217955787475655e-10,1.919313527326951,False
radial_domain,rk4,monopole,49,129,3.0,4.0,40,0.0025,0.0004898581266744968,7.430447702219151e-05,0.010862564927136676,0.007080811651933129,0.018030404154627463,2.47198095326695e-17,8.097625967775516e-49,0.0,9.607283284668777e-26,5.575031168292707e-05,0.0001686446928408544,0.811108632504623,6.655554812198902e-11,1.8944273151076223,False
radial_domain,rk4,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
radial_domain,rk4,monopole,97,129,6.0,4.0,40,0.0025,0.0004898581266304357,7.430447702068664e-05,0.01086256492692724,0.007080426458802553,0.0180304067817209,2.5261910618912253e-17,6.399067681724389e-88,0.0,2.5165290066581446e-26,7.0558922946479945e-06,4.251175107525417e-05,0.8111086323132347,6.655554794576534e-11,1.8944273151014313,False
axial_domain,rk4,monopole,65,97,4.0,3.0,40,0.0025,0.0004898581266538427,7.430447702152302e-05,0.01086256492707049,0.007080664208460901,0.018030404519479324,1.997642502804542e-17,7.653269596041066e-50,0.0,2.238134927126613e-25,5.575031168601092e-05,0.00022439500453619394,0.8976637820020525,6.655554813609642e-11,1.8944273151066933,False
axial_domain,rk4,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
axial_domain,rk4,monopole,65,193,4.0,6.0,40,0.0025,0.0004898581266350451,7.430447702082287e-05,0.010862564926945626,0.007080463156342153,0.018030406749467133,1.962405932198763e-17,6.134553994237892e-87,0.0,2.6426984459979737e-26,7.055892294540066e-06,2.8399966485523767e-05,0.7885809043049187,6.655554795288735e-11,1.894427315101816,False
integrator,heun,monopole,65,129,4.0,4.0,40,0.0025,0.000489858009245143,7.430447704212604e-05,0.010862564929226787,0.007080489810447262,0.01803040510730024,2.1846673775582914e-17,1.6176250387121232e-88,0.0,1.4173788514056842e-25,7.055892225655174e-06,2.8399966208262074e-05,0.8111086651400475,6.628259313746415e-11,1.8944273148382866,False
integrator,ssprk3,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581267022951,7.430447702089412e-05,0.010862564926961974,0.007080490233146402,0.018030406574893253,2.0708261494473135e-17,3.939350529959183e-87,0.0,1.9990698658466386e-25,7.055892294468832e-06,2.8399966485237047e-05,0.8111086323363416,6.655235569039743e-11,1.8944273151024842,False
integrator,rk4,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
boundary_mode,rk4,monopole,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
boundary_mode,rk4,zero,65,129,4.0,4.0,40,0.0025,0.0004898581266376316,7.430447702089652e-05,0.010862564926962234,0.007080490233432121,0.01803040657438338,2.3960868011929648e-17,6.774460711393574e-87,0.0,1.340384583692606e-25,7.0558922944440366e-06,2.8399966485137246e-05,0.8111086323454342,6.655554797633929e-11,1.894427315102434,False
