label,amplitude,radial_support,axial_support,axial_concentration,aspect_ratio,composite_score,l3_growth,max_omega1,radial_scale_ratio,axial_scale_ratio,shell_count_change,outer_radial_fraction,diverged
A2_R1.2_Z1.5_c2,2.0,1.2,1.5,2.0,0.7999999999999999,0.007594791542052337,0.9977463379435236,0.00027880571846692855,0.9996830157884028,1.0000920621280929,0.007277807330455133,2.1473024877558086e-15,False
A5_R1.2_Z1.5_c2,5.0,1.2,1.5,2.0,0.7999999999999999,0.0075939813376677545,0.9977460100099045,0.0017425307193333738,0.9996836266073641,1.0000920719159434,0.00727760794503185,3.355158685432979e-14,False
A10_R1.2_Z1.5_c2,10.0,1.2,1.5,2.0,0.7999999999999999,0.007591088647032396,0.9977448389069794,0.00697005114858117,0.9996858080583685,1.0000921070047628,0.0072768967054008815,2.6841228000416656e-13,False
A20_R1.2_Z1.5_c2,20.0,1.2,1.5,2.0,0.7999999999999999,0.007579525831675538,0.9977401553305143,0.027879056998810433,0.9996945333305609,1.0000922485822066,0.007274059162236446,2.147284961101899e-12,False
A2_R0.8_Z1_c0,2.0,0.8,1.0,0.0,0.8,0.0023727821897917556,0.9949473392346512,0.0009541787845959084,0.9993174564080695,0.9996418261383675,0.0013320647362287108,1.7301709261811743e-16,False
A5_R0.8_Z1_c0,5.0,0.8,1.0,0.0,0.8,0.0023722497680684906,0.9949466363407224,0.005963590710348039,0.9993187480495638,0.999641720786407,0.0013327186040392736,2.7033902619303386e-15,False
A10_R0.8_Z1_c0,10.0,0.8,1.0,0.0,0.8,0.002370351312460217,0.9949441263196056,0.02385398150832257,0.9993233608447954,0.999641345179544,0.0013350573367996166,2.1627070356846272e-14,False
A20_R0.8_Z1_c0,20.0,0.8,1.0,0.0,0.8,0.002362784104887994,0.9949340893802588,0.09540982475901268,0.9993418095808311,0.9996398487706847,0.0013444424564037494,1.7301490591575326e-13,False
A20_R0.8_Z1.5_c2,20.0,0.8,1.5,2.0,0.5333333333333333,0.002139811455583507,0.9958092563347376,0.0278329154402209,0.9993248576896931,1.000092663404063,0.0014646691452766536,1.182661199268975e-13,False
A10_R0.8_Z1.5_c2,10.0,0.8,1.5,2.0,0.5333333333333333,0.002134260146480327,0.995812738644887,0.006958429390243868,0.9993191222360812,1.000092211009874,0.001453382382561541,1.4783373618784242e-14,False
A5_R0.8_Z1.5_c2,5.0,0.8,1.5,2.0,0.5333333333333333,0.0021328729734922947,0.9958136093104174,0.0017396198811690093,0.9993176883428697,1.0000920979497203,0.001450561316362009,1.8479250966055857e-15,False
A2_R0.8_Z1.5_c2,2.0,0.8,1.5,2.0,0.5333333333333333,0.002132484648372346,0.9958138531067708,0.0002783397424980869,0.9993172868512983,1.000092066296249,0.0014497714996706268,1.1826726700486082e-16,False
A2_R0.8_Z1_c2,2.0,0.8,1.0,2.0,0.8,0.0017474449257777191,0.9949614203806987,0.000410553805187517,0.9993173242628299,1.000210529456388,0.0010647691886076505,6.60217656452578e-17,False
A5_R0.8_Z1_c2,5.0,0.8,1.0,2.0,0.8,0.0017466193779488437,0.9949610918777545,0.0025659540388420286,0.9993179221588923,1.0002105400222838,0.0010645415368411015,1.0315898772452586e-15,False
A10_R0.8_Z1_c2,10.0,0.8,1.0,2.0,0.8,0.0017436719851651183,0.9949599187543264,0.010263712677079269,0.9993200574512935,1.0002105778572583,0.0010637294364586047,8.25271298816401e-15,False
A20_R0.8_Z1_c2,20.0,0.8,1.0,2.0,0.8,0.0017318911621868605,0.9949552271912226,0.041053195144734274,0.9993285980581392,1.0002107302010308,0.0010604892203260885,6.602151079239191e-14,False
A2_R1.2_Z1_c0,2.0,1.2,1.0,0.0,1.2,0.0016595391453518848,0.99687813037912,0.000955776226153055,0.9996832361400467,0.9996418087277724,0.0009845840131710304,3.2577716495813706e-15,False
A5_R1.2_Z1_c0,5.0,1.2,1.0,0.0,1.2,0.0016563607469192165,0.9968772789018545,0.005973570304739763,0.9996850037417148,0.9996416121621707,0.0009829766508047122,5.0902690495581414e-14,False
A10_R1.2_Z1_c0,10.0,1.2,1.0,0.0,1.2,0.0016450117809688747,0.996874238586042,0.02389383679662067,0.9996913160627211,0.999640912068428,0.0009772399121179554,4.072217652281013e-13,False
A20_R1.2_Z1_c0,20.0,1.2,1.0,0.0,1.2,0.0015996372899432787,0.9968620836200212,0.09556823567273347,0.9997165598000334,0.9996381282360427,0.0009543253260193563,3.257781788642279e-12,False
