family,nr,nz,r_max,z_max,time_step,steps,integrator,boundary_mode,max_omega1,max_u1,l3_norm,radial_scale,axial_scale,effective_shell_count,outer_radial_fraction,poisson_residual,gradient_tail_bound,velocity_tail_bound
radial,49,193,1.6,1.9,0.0004,60,rk4,dipole,0.01216929615274955,0.4311361238899086,0.22792993952386045,0.6548773865105051,0.7307279501905123,1.3378152081084653,8.13152483901341e-12,5.821731985378165e-15,,
radial,97,193,1.6,1.9,0.0004,60,rk4,dipole,0.012169299068698318,0.4311362246981647,0.22792929971356543,0.6548748957937315,0.7307279502999722,1.3393941193989543,4.485094449099555e-12,1.5921292062515136e-14,,
radial,193,193,1.6,1.9,0.0004,60,rk4,dipole,0.012169300046017647,0.4311362573098695,0.22792913962723138,0.6548742700070317,0.7307279503274107,1.338696774020506,2.3900708241522907e-12,4.868674907676507e-14,,
axial,97,97,1.6,1.9,0.0004,60,rk4,dipole,0.012046840981640976,0.4310752172395201,0.2279294983979056,0.6548748802422526,0.7307287146460731,1.3404256857311403,4.478377095970535e-12,1.3163081735712012e-14,,
axial,97,193,1.6,1.9,0.0004,60,rk4,dipole,0.012169299068698318,0.4311362246981647,0.22792929971356543,0.6548748957937315,0.7307279502999722,1.3393941193989543,4.485094449099555e-12,1.5921292062515136e-14,,
axial,97,385,1.6,1.9,0.0004,60,rk4,dipole,0.01218954513721531,0.4312230364034152,0.22792925449521864,0.6548748996887345,0.730727737045353,1.3379023323651855,4.486773410552558e-12,2.076464000744238e-14,,
joint,49,97,1.6,1.9,0.0004,60,rk4,dipole,0.012046838110120785,0.43107511650545055,0.22793013821389824,0.6548773709846505,0.7307287145391422,1.339565250438156,8.119787786061744e-12,2.8345381597461028e-15,,
joint,97,193,1.6,1.9,0.0004,60,rk4,dipole,0.012169299068698318,0.4311362246981647,0.22792929971356543,0.6548748957937315,0.7307279502999722,1.3393941193989543,4.485094449099555e-12,1.5921292062515136e-14,,
joint,193,385,1.6,1.9,0.0004,60,rk4,dipole,0.012189546116059059,0.4312230690187516,0.22792909440923564,0.6548742739036388,0.7307277370729452,1.338280118525795,2.391007522904961e-12,6.540948338518149e-14,,
time,97,193,1.6,1.9,0.0004,60,rk4,dipole,0.012169299068698318,0.4311362246981647,0.22792929971356543,0.6548748957937315,0.7307279502999722,1.3393941193989543,4.485094449099555e-12,1.5921292062515136e-14,,
time,97,193,1.6,1.9,0.0002,120,rk4,dipole,0.012169299068698295,0.4311362246981647,0.22792929971356543,0.6548748957937315,0.7307279502999722,1.3393941193989543,4.485094449099555e-12,1.565240992373873e-14,,
time,97,193,1.6,1.9,0.0001,240,rk4,dipole,0.01216929906869828,0.43113622469816465,0.22792929971356543,0.6548748957937315,0.7307279502999722,1.3393941193989543,4.485094449099555e-12,1.7496420978702076e-14,,
integrator,97,193,1.6,1.9,0.0004,60,ssprk3,dipole,0.01216929906868965,0.4311362246981689,0.22792929971356513,0.6548748957937316,0.7307279502999723,1.3393941193989514,4.4850944491017545e-12,1.3633191797701727e-14,,
integrator,97,193,1.6,1.9,0.0004,60,rk4,dipole,0.012169299068698318,0.4311362246981647,0.22792929971356543,0.6548748957937315,0.7307279502999722,1.3393941193989543,4.485094449099555e-12,1.5921292062515136e-14,,
radial_domain,97,193,1.6,1.9,0.0004,60,rk4,dipole,0.012169299068698318,0.4311362246981647,0.22792929971356543,0.6548748957937315,0.7307279502999722,1.3393941193989543,4.485094449099555e-12,1.5921292062515136e-14,,
radial_domain,145,193,2.4,1.9,0.0004,60,rk4,dipole,0.012169299177317903,0.4311362321127392,0.22792929924746652,0.6548748926764465,0.7307279976213081,1.3393942670937917,3.1617734536594276e-14,1.7388868123191514e-14,6363.483756868612,15322.738596226543
radial_domain,217,193,3.6,1.9,0.0004,60,rk4,dipole,0.012169299192076818,0.4311362330528161,0.227929299282124,0.6548748921456958,0.7307280005275067,1.339394277178993,5.661913063697065e-16,1.0604364608646222e-14,6363.483762826164,22958.91912596323
axial_domain,97,229,1.6,1.9,0.0004,60,rk4,dipole,0.012175237962214203,0.4311658250544415,0.22792928196638196,0.6548748973037191,0.7307278686462505,1.3374801595289396,4.485745584491695e-12,1.7799997586998018e-14,,
axial_domain,97,343,1.6,2.85,0.0004,60,rk4,dipole,0.01217523777482776,0.4311657998133384,0.2279292808058578,0.6548749083200259,0.7307278580850106,1.3374801296802086,4.640803636697863e-12,1.2776238400569184e-14,,
axial_domain,97,513,1.6,4.275,0.0004,60,rk4,dipole,0.012170086445890758,0.43118701946898486,0.22792928096236112,0.6548749084185685,0.7307278587586139,1.337606554761182,4.645492006934593e-12,1.519400924521186e-14,,
